Time(DD/MM/YYYY h:mm:ss A),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
02/01/2025 11:22:31 PM,"459","23.0","48","1023.7"
02/01/2025 11:23:31 PM,"459","23.0","48","1023.7"
02/01/2025 11:24:31 PM,"459","23.0","48","1023.7"
02/01/2025 11:25:31 PM,"459","23.0","48","1023.7"
02/01/2025 11:26:31 PM,"439","23.0","48","1023.5"
02/01/2025 11:27:31 PM,"439","23.0","48","1023.5"
02/01/2025 11:28:31 PM,"439","23.0","48","1023.5"
02/01/2025 11:29:31 PM,"439","23.0","48","1023.5"
02/01/2025 11:30:31 PM,"439","23.0","48","1023.5"
02/01/2025 11:31:31 PM,"459","23.0","48","1023.6"
02/01/2025 11:32:31 PM,"459","23.0","48","1023.6"
02/01/2025 11:33:31 PM,"459","23.0","48","1023.6"
02/01/2025 11:34:31 PM,"459","23.0","48","1023.6"
02/01/2025 11:35:31 PM,"459","23.0","48","1023.6"
02/01/2025 11:36:31 PM,"452","23.0","48","1023.6"
02/01/2025 11:37:31 PM,"452","23.0","48","1023.6"
02/01/2025 11:38:31 PM,"452","23.0","48","1023.6"
02/01/2025 11:39:31 PM,"452","23.0","48","1023.6"
02/01/2025 11:40:31 PM,"452","23.0","48","1023.6"
02/01/2025 11:41:31 PM,"459","23.0","48","1023.6"
02/01/2025 11:42:31 PM,"459","23.0","48","1023.6"
02/01/2025 11:43:31 PM,"459","23.0","48","1023.6"
02/01/2025 11:44:31 PM,"459","23.0","48","1023.6"
02/01/2025 11:45:31 PM,"459","23.0","48","1023.6"
02/01/2025 11:46:31 PM,"451","22.9","48","1023.6"
02/01/2025 11:47:31 PM,"451","22.9","48","1023.6"
02/01/2025 11:48:31 PM,"451","22.9","48","1023.6"
02/01/2025 11:49:31 PM,"451","22.9","48","1023.6"
02/01/2025 11:50:31 PM,"451","22.9","48","1023.6"
02/01/2025 11:51:31 PM,"465","22.9","48","1023.6"
02/01/2025 11:52:31 PM,"465","22.9","48","1023.6"
02/01/2025 11:53:31 PM,"465","22.9","48","1023.6"
02/01/2025 11:54:31 PM,"465","22.9","48","1023.6"
02/01/2025 11:55:31 PM,"465","22.9","48","1023.6"
02/01/2025 11:56:31 PM,"452","22.9","48","1023.5"
02/01/2025 11:57:31 PM,"452","22.9","48","1023.5"
02/01/2025 11:58:31 PM,"452","22.9","48","1023.5"
02/01/2025 11:59:31 PM,"452","22.9","48","1023.5"
03/01/2025 12:00:31 AM,"452","22.9","48","1023.5"
03/01/2025 12:01:31 AM,"462","22.9","48","1023.5"
03/01/2025 12:02:31 AM,"462","22.9","48","1023.5"
03/01/2025 12:03:31 AM,"462","22.9","48","1023.5"
03/01/2025 12:04:31 AM,"462","22.9","48","1023.5"
03/01/2025 12:05:31 AM,"462","22.9","48","1023.5"
03/01/2025 12:06:31 AM,"472","22.9","48","1023.5"
03/01/2025 12:07:31 AM,"472","22.9","48","1023.5"
03/01/2025 12:08:31 AM,"472","22.9","48","1023.5"
03/01/2025 12:09:31 AM,"472","22.9","48","1023.5"
03/01/2025 12:10:31 AM,"472","22.9","48","1023.5"
03/01/2025 12:11:31 AM,"474","22.9","48","1023.4"
03/01/2025 12:12:31 AM,"474","22.9","48","1023.4"
03/01/2025 12:13:31 AM,"474","22.9","48","1023.4"
03/01/2025 12:14:31 AM,"474","22.9","48","1023.4"
03/01/2025 12:15:31 AM,"474","22.9","48","1023.4"
03/01/2025 12:16:31 AM,"453","22.9","48","1023.3"
03/01/2025 12:17:31 AM,"453","22.9","48","1023.3"
03/01/2025 12:18:31 AM,"453","22.9","48","1023.3"
03/01/2025 12:19:31 AM,"453","22.9","48","1023.3"
03/01/2025 12:20:31 AM,"453","22.9","48","1023.3"
03/01/2025 12:21:31 AM,"439","22.9","48","1023.2"
03/01/2025 12:22:31 AM,"439","22.9","48","1023.2"
03/01/2025 12:23:31 AM,"439","22.9","48","1023.2"
03/01/2025 12:24:31 AM,"439","22.9","48","1023.2"
03/01/2025 12:25:31 AM,"439","22.9","48","1023.2"
03/01/2025 12:26:31 AM,"464","22.9","48","1023.3"
03/01/2025 12:27:31 AM,"464","22.9","48","1023.3"
03/01/2025 12:28:31 AM,"464","22.9","48","1023.3"
03/01/2025 12:29:31 AM,"464","22.9","48","1023.3"
03/01/2025 12:30:31 AM,"464","22.9","48","1023.3"
03/01/2025 12:31:31 AM,"460","22.9","48","1023.1"
03/01/2025 12:32:31 AM,"460","22.9","48","1023.1"
03/01/2025 12:33:31 AM,"460","22.9","48","1023.1"
03/01/2025 12:34:31 AM,"460","22.9","48","1023.1"
03/01/2025 12:35:31 AM,"460","22.9","48","1023.1"
03/01/2025 12:36:31 AM,"464","22.9","48","1023.2"
03/01/2025 12:37:31 AM,"464","22.9","48","1023.2"
03/01/2025 12:38:31 AM,"464","22.9","48","1023.2"
