Time(DD/MM/YYYY h:mm:ss A),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
03/01/2025 12:08:53 AM,"472","22.8","49","1023.4"
03/01/2025 12:09:53 AM,"472","22.8","49","1023.4"
03/01/2025 12:10:53 AM,"464","22.7","49","1023.4"
03/01/2025 12:11:53 AM,"464","22.7","49","1023.4"
03/01/2025 12:12:53 AM,"464","22.7","49","1023.4"
03/01/2025 12:13:53 AM,"464","22.7","49","1023.4"
03/01/2025 12:14:53 AM,"464","22.7","49","1023.4"
03/01/2025 12:15:53 AM,"450","22.7","49","1023.3"
03/01/2025 12:16:53 AM,"450","22.7","49","1023.3"
03/01/2025 12:17:53 AM,"450","22.7","49","1023.3"
03/01/2025 12:18:53 AM,"450","22.7","49","1023.3"
03/01/2025 12:19:53 AM,"450","22.7","49","1023.3"
03/01/2025 12:20:53 AM,"464","22.7","49","1023.3"
03/01/2025 12:21:53 AM,"464","22.7","49","1023.3"
03/01/2025 12:22:53 AM,"464","22.7","49","1023.3"
03/01/2025 12:23:53 AM,"464","22.7","49","1023.3"
03/01/2025 12:24:53 AM,"464","22.7","49","1023.3"
03/01/2025 12:25:53 AM,"469","22.7","49","1023.3"
03/01/2025 12:26:53 AM,"469","22.7","49","1023.3"
03/01/2025 12:27:53 AM,"469","22.7","49","1023.3"
03/01/2025 12:28:53 AM,"469","22.7","49","1023.3"
03/01/2025 12:29:53 AM,"469","22.7","49","1023.3"
03/01/2025 12:30:53 AM,"461","22.7","48","1023.2"
03/01/2025 12:31:53 AM,"461","22.7","48","1023.2"
03/01/2025 12:32:53 AM,"461","22.7","48","1023.2"
03/01/2025 12:33:53 AM,"461","22.7","48","1023.2"
03/01/2025 12:34:53 AM,"461","22.7","48","1023.2"
03/01/2025 12:35:53 AM,"470","22.7","48","1023.2"
03/01/2025 12:36:53 AM,"470","22.7","48","1023.2"
03/01/2025 12:37:53 AM,"470","22.7","48","1023.2"
03/01/2025 12:38:53 AM,"470","22.7","48","1023.2"
03/01/2025 12:39:53 AM,"470","22.7","48","1023.2"
03/01/2025 12:40:53 AM,"480","22.7","48","1023.2"
03/01/2025 12:41:53 AM,"480","22.7","48","1023.2"
03/01/2025 12:42:53 AM,"480","22.7","48","1023.2"
03/01/2025 12:43:53 AM,"480","22.7","48","1023.2"
03/01/2025 12:44:53 AM,"480","22.7","48","1023.2"
03/01/2025 12:45:53 AM,"473","22.7","48","1023.0"
03/01/2025 12:46:53 AM,"473","22.7","48","1023.0"
03/01/2025 12:47:53 AM,"473","22.7","48","1023.0"
03/01/2025 12:48:53 AM,"473","22.7","48","1023.0"
03/01/2025 12:49:53 AM,"473","22.7","48","1023.0"
03/01/2025 12:50:53 AM,"460","22.7","48","1023.1"
03/01/2025 12:51:53 AM,"460","22.7","48","1023.1"
