Time(DD/MM/YYYY h:mm:ss A),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
03/01/2025 2:59:35 AM,"511","21.8","",""
03/01/2025 3:00:35 AM,"511","21.8","44","1022.2"
03/01/2025 3:01:35 AM,"511","21.8","44","1022.2"
03/01/2025 3:02:35 AM,"530","21.8","44","1022.3"
03/01/2025 3:03:35 AM,"530","21.8","44","1022.3"
03/01/2025 3:04:35 AM,"530","21.8","44","1022.3"
03/01/2025 3:05:35 AM,"530","21.8","44","1022.3"
03/01/2025 3:06:35 AM,"530","21.8","44","1022.3"
03/01/2025 3:07:35 AM,"516","21.7","44","1022.2"
03/01/2025 3:08:35 AM,"516","21.7","44","1022.2"
03/01/2025 3:09:35 AM,"516","21.7","44","1022.2"
03/01/2025 3:10:35 AM,"516","21.7","44","1022.2"
03/01/2025 3:11:35 AM,"516","21.7","44","1022.2"
03/01/2025 3:12:35 AM,"538","21.7","44","1022.2"
03/01/2025 3:13:35 AM,"538","21.7","44","1022.2"
03/01/2025 3:14:35 AM,"538","21.7","44","1022.2"
03/01/2025 3:15:35 AM,"538","21.7","44","1022.2"
03/01/2025 3:16:35 AM,"538","21.7","44","1022.2"
03/01/2025 3:17:35 AM,"521","21.7","44","1022.1"
03/01/2025 3:18:35 AM,"521","21.7","44","1022.1"
03/01/2025 3:19:35 AM,"521","21.7","44","1022.1"
03/01/2025 3:20:35 AM,"521","21.7","44","1022.1"
03/01/2025 3:21:35 AM,"521","21.7","44","1022.1"
03/01/2025 3:22:35 AM,"527","21.7","44","1022.2"
03/01/2025 3:23:35 AM,"527","21.7","44","1022.2"
03/01/2025 3:24:35 AM,"527","21.7","44","1022.2"
03/01/2025 3:25:35 AM,"527","21.7","44","1022.2"
03/01/2025 3:26:35 AM,"527","21.7","44","1022.2"
03/01/2025 3:27:35 AM,"521","21.7","44","1022.1"
03/01/2025 3:28:35 AM,"521","21.7","44","1022.1"
03/01/2025 3:29:35 AM,"521","21.7","44","1022.1"
03/01/2025 3:30:35 AM,"521","21.7","44","1022.1"
03/01/2025 3:31:35 AM,"521","21.7","44","1022.1"
03/01/2025 3:32:35 AM,"524","21.7","44","1022.2"
03/01/2025 3:33:35 AM,"524","21.7","44","1022.2"
03/01/2025 3:34:35 AM,"524","21.7","44","1022.2"
03/01/2025 3:35:35 AM,"524","21.7","44","1022.2"
03/01/2025 3:36:35 AM,"524","21.7","44","1022.2"
03/01/2025 3:37:35 AM,"521","21.6","44","1022.2"
03/01/2025 3:38:35 AM,"521","21.6","44","1022.2"
03/01/2025 3:39:35 AM,"521","21.6","44","1022.2"
03/01/2025 3:40:35 AM,"521","21.6","44","1022.2"
03/01/2025 3:41:35 AM,"521","21.6","44","1022.2"
03/01/2025 3:42:35 AM,"525","21.6","44","1022.3"
03/01/2025 3:43:35 AM,"525","21.6","44","1022.3"
03/01/2025 3:44:35 AM,"525","21.6","44","1022.3"
03/01/2025 3:45:35 AM,"525","21.6","44","1022.3"
03/01/2025 3:46:35 AM,"525","21.6","44","1022.3"
03/01/2025 3:47:35 AM,"517","21.6","44","1022.4"
03/01/2025 3:48:35 AM,"517","21.6","44","1022.4"
03/01/2025 3:49:35 AM,"517","21.6","44","1022.4"
03/01/2025 3:50:35 AM,"517","21.6","44","1022.4"
03/01/2025 3:51:35 AM,"517","21.6","44","1022.4"
03/01/2025 3:52:35 AM,"521","21.6","44","1022.5"
03/01/2025 3:53:35 AM,"521","21.6","44","1022.5"
03/01/2025 3:54:35 AM,"521","21.6","44","1022.5"
03/01/2025 3:55:35 AM,"521","21.6","44","1022.5"
03/01/2025 3:56:35 AM,"521","21.6","44","1022.5"
03/01/2025 3:57:35 AM,"520","21.6","44","1022.5"
03/01/2025 3:58:35 AM,"520","21.6","44","1022.5"
03/01/2025 3:59:35 AM,"520","21.6","44","1022.5"
03/01/2025 4:00:35 AM,"520","21.6","44","1022.5"
03/01/2025 4:01:35 AM,"520","21.6","44","1022.5"
03/01/2025 4:02:35 AM,"522","21.6","44","1022.6"
03/01/2025 4:03:35 AM,"522","21.6","44","1022.6"
03/01/2025 4:04:35 AM,"522","21.6","44","1022.6"
03/01/2025 4:05:35 AM,"522","21.6","44","1022.6"
03/01/2025 4:06:35 AM,"522","21.6","44","1022.6"
03/01/2025 4:07:35 AM,"515","21.5","44","1022.7"
03/01/2025 4:08:35 AM,"515","21.5","44","1022.7"
03/01/2025 4:09:35 AM,"515","21.5","44","1022.7"
03/01/2025 4:10:35 AM,"515","21.5","44","1022.7"
03/01/2025 4:11:35 AM,"515","21.5","44","1022.7"
03/01/2025 4:12:35 AM,"500","21.5","44","1022.7"
03/01/2025 4:13:35 AM,"500","21.5","44","1022.7"
03/01/2025 4:14:35 AM,"500","21.5","44","1022.7"
03/01/2025 4:15:35 AM,"500","21.5","44","1022.7"
03/01/2025 4:16:35 AM,"500","21.5","44","1022.7"
03/01/2025 4:17:35 AM,"530","21.5","44","1022.7"
03/01/2025 4:18:35 AM,"530","21.5","44","1022.7"
03/01/2025 4:19:35 AM,"530","21.5","44","1022.7"
03/01/2025 4:20:35 AM,"530","21.5","44","1022.7"
03/01/2025 4:21:35 AM,"530","21.5","44","1022.7"
03/01/2025 4:22:35 AM,"509","21.5","44","1022.8"
03/01/2025 4:23:35 AM,"509","21.5","44","1022.8"
03/01/2025 4:24:35 AM,"509","21.5","44","1022.8"
03/01/2025 4:25:35 AM,"509","21.5","44","1022.8"
03/01/2025 4:26:35 AM,"509","21.5","44","1022.8"
03/01/2025 4:27:35 AM,"513","21.5","44","1022.9"
03/01/2025 4:28:35 AM,"513","21.5","44","1022.9"
03/01/2025 4:29:35 AM,"513","21.5","44","1022.9"
03/01/2025 4:30:35 AM,"513","21.5","44","1022.9"
03/01/2025 4:31:35 AM,"513","21.5","44","1022.9"
03/01/2025 4:32:35 AM,"508","21.5","44","1023.0"
03/01/2025 4:33:35 AM,"508","21.5","44","1023.0"
03/01/2025 4:34:35 AM,"508","21.5","44","1023.0"
03/01/2025 4:35:35 AM,"508","21.5","44","1023.0"
03/01/2025 4:36:35 AM,"508","21.5","44","1023.0"
03/01/2025 4:37:35 AM,"516","21.5","44","1023.2"
03/01/2025 4:38:35 AM,"516","21.5","44","1023.2"
03/01/2025 4:39:35 AM,"516","21.5","44","1023.2"
03/01/2025 4:40:35 AM,"516","21.5","44","1023.2"
03/01/2025 4:41:35 AM,"516","21.5","44","1023.2"
03/01/2025 4:42:35 AM,"520","21.5","44","1023.3"
03/01/2025 4:43:35 AM,"520","21.5","44","1023.3"
03/01/2025 4:44:35 AM,"520","21.5","44","1023.3"
03/01/2025 4:45:35 AM,"520","21.5","44","1023.3"
03/01/2025 4:46:35 AM,"520","21.5","44","1023.3"
03/01/2025 4:47:35 AM,"516","21.4","44","1023.2"
03/01/2025 4:48:35 AM,"516","21.4","44","1023.2"
03/01/2025 4:49:35 AM,"516","21.4","44","1023.2"
03/01/2025 4:50:35 AM,"516","21.4","44","1023.2"
03/01/2025 4:51:35 AM,"516","21.4","44","1023.2"
03/01/2025 4:52:35 AM,"531","21.3","44","1023.3"
03/01/2025 4:53:35 AM,"531","21.3","44","1023.3"
03/01/2025 4:54:35 AM,"531","21.3","44","1023.3"
03/01/2025 4:55:36 AM,"531","21.3","44","1023.3"
03/01/2025 4:56:36 AM,"531","21.3","44","1023.3"
03/01/2025 4:57:36 AM,"508","21.1","43","1023.2"
03/01/2025 4:58:36 AM,"508","21.1","43","1023.2"
03/01/2025 4:59:36 AM,"508","21.1","43","1023.2"
