Time(DD/MM/YYYY h:mm:ss A),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
07/01/2025 9:26:06 PM,"453","19.5","89","916.3"
07/01/2025 9:27:06 PM,"461","19.4","90","916.5"
07/01/2025 9:28:06 PM,"444","19.4","90","916.5"
07/01/2025 9:29:06 PM,"461","19.4","89","916.4"
07/01/2025 9:30:06 PM,"450","19.4","90","916.4"
07/01/2025 9:31:06 PM,"444","19.3","90","916.4"
07/01/2025 9:32:06 PM,"450","19.3","90","916.5"
07/01/2025 9:33:06 PM,"451","19.3","90","916.5"
07/01/2025 9:34:06 PM,"469","19.3","91","916.4"
07/01/2025 9:35:06 PM,"446","19.2","90","916.6"
07/01/2025 9:36:06 PM,"449","19.2","90","916.5"
07/01/2025 9:37:06 PM,"445","19.2","90","916.6"
07/01/2025 9:38:06 PM,"461","19.2","89","916.5"
07/01/2025 9:39:06 PM,"451","19.2","89","916.5"
07/01/2025 9:40:06 PM,"439","19.2","90","916.7"
07/01/2025 9:41:06 PM,"443","19.2","90","916.5"
07/01/2025 9:42:06 PM,"462","19.1","89","916.5"
07/01/2025 9:43:06 PM,"444","19.1","90","916.5"
07/01/2025 9:44:06 PM,"456","19.1","90","916.4"
07/01/2025 9:45:06 PM,"447","19.1","90","916.4"
07/01/2025 9:46:06 PM,"449","19.0","91","916.5"
07/01/2025 9:47:06 PM,"444","19.1","92","916.4"
07/01/2025 9:48:06 PM,"449","19.1","92","916.5"
07/01/2025 9:49:06 PM,"448","19.1","92","916.5"
07/01/2025 9:50:06 PM,"449","19.1","92","916.5"
07/01/2025 9:51:06 PM,"461","19.1","93","916.6"
07/01/2025 9:52:06 PM,"459","19.1","93","916.5"
07/01/2025 9:53:06 PM,"462","19.1","93","916.5"
07/01/2025 9:54:06 PM,"463","19.1","93","916.5"
07/01/2025 9:55:06 PM,"447","19.2","93","916.5"
07/01/2025 9:56:06 PM,"455","19.2","93","916.5"
07/01/2025 9:57:06 PM,"472","19.2","93","916.5"
07/01/2025 9:58:06 PM,"451","19.2","93","916.5"
07/01/2025 9:59:06 PM,"448","19.2","93","916.5"
07/01/2025 10:00:06 PM,"463","19.2","94","916.5"
07/01/2025 10:01:06 PM,"451","19.3","94","916.5"
07/01/2025 10:02:06 PM,"455","19.3","94","916.5"
07/01/2025 10:03:06 PM,"455","19.3","94","916.5"
07/01/2025 10:04:06 PM,"449","19.3","94","916.4"
07/01/2025 10:05:06 PM,"465","19.4","94","916.6"
07/01/2025 10:06:06 PM,"445","19.4","94","916.6"
07/01/2025 10:07:06 PM,"457","19.4","94","916.6"
07/01/2025 10:08:06 PM,"458","19.4","94","916.6"
07/01/2025 10:09:06 PM,"456","19.5","94","916.5"
07/01/2025 10:10:06 PM,"450","19.5","94","916.7"
07/01/2025 10:11:06 PM,"447","19.5","94","916.5"
07/01/2025 10:12:06 PM,"448","19.6","94","916.3"
07/01/2025 10:13:06 PM,"449","19.6","94","916.3"
07/01/2025 10:14:06 PM,"453","19.6","94","916.3"
07/01/2025 10:15:06 PM,"455","19.6","94","916.3"
