Time(DD/MM/YYYY h:mm:ss A),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
03/01/2025 1:48:31 AM,"","22.5","",""
03/01/2025 1:49:31 AM,"","22.5","",""
03/01/2025 1:50:31 AM,"","22.5","",""
03/01/2025 1:51:31 AM,"","22.5","",""
03/01/2025 1:52:31 AM,"","22.5","",""
03/01/2025 1:53:31 AM,"","22.5","",""
03/01/2025 1:54:31 AM,"","22.5","",""
03/01/2025 1:55:31 AM,"","22.5","",""
03/01/2025 1:56:31 AM,"","22.5","",""
03/01/2025 1:57:31 AM,"","22.5","",""
03/01/2025 1:58:31 AM,"","22.5","",""
03/01/2025 1:59:31 AM,"","22.5","",""
03/01/2025 2:00:31 AM,"","22.5","",""
03/01/2025 2:01:31 AM,"","22.5","",""
03/01/2025 2:02:31 AM,"","22.5","",""
03/01/2025 2:03:31 AM,"","22.5","",""
03/01/2025 2:04:31 AM,"","22.5","",""
03/01/2025 2:05:31 AM,"","22.5","",""
03/01/2025 2:06:31 AM,"","22.5","",""
03/01/2025 2:07:31 AM,"","22.5","",""
03/01/2025 2:08:31 AM,"","22.5","",""
03/01/2025 2:09:31 AM,"","22.5","",""
03/01/2025 2:10:31 AM,"","22.5","",""
03/01/2025 2:11:31 AM,"","22.5","",""
03/01/2025 2:12:31 AM,"","22.5","",""
03/01/2025 2:13:31 AM,"","22.5","",""
03/01/2025 2:14:31 AM,"","22.5","",""
03/01/2025 2:15:31 AM,"","22.5","",""
03/01/2025 2:16:31 AM,"","22.5","",""
03/01/2025 2:17:31 AM,"","22.5","",""
03/01/2025 2:18:31 AM,"","22.5","",""
03/01/2025 2:19:31 AM,"","22.5","",""
03/01/2025 2:20:31 AM,"","22.5","",""
03/01/2025 2:21:31 AM,"","22.5","",""
03/01/2025 2:22:31 AM,"","22.5","",""
03/01/2025 2:23:31 AM,"","22.5","",""
03/01/2025 2:24:31 AM,"","22.5","",""
03/01/2025 2:25:31 AM,"","22.5","",""
03/01/2025 2:26:31 AM,"","22.5","",""
