Time(DD/MM/YYYY h:mm:ss A),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
04/01/2025 3:42:00 AM,"826","24.5","48","997.3"
04/01/2025 3:43:00 AM,"826","24.5","48","997.3"
04/01/2025 3:44:00 AM,"826","24.5","48","997.3"
04/01/2025 3:45:00 AM,"826","24.5","48","997.3"
04/01/2025 3:46:00 AM,"826","24.5","48","997.3"
04/01/2025 3:47:00 AM,"849","24.5","48","997.2"
04/01/2025 3:48:00 AM,"849","24.5","48","997.2"
04/01/2025 3:49:00 AM,"849","24.5","48","997.2"
04/01/2025 3:50:00 AM,"849","24.5","48","997.2"
04/01/2025 3:51:00 AM,"849","24.5","48","997.2"
04/01/2025 3:52:00 AM,"833","24.6","48","997.3"
04/01/2025 3:53:00 AM,"833","24.6","48","997.3"
04/01/2025 3:54:00 AM,"833","24.6","48","997.3"
04/01/2025 3:55:00 AM,"833","24.6","48","997.3"
04/01/2025 3:56:00 AM,"833","24.6","48","997.3"
04/01/2025 3:57:00 AM,"831","24.6","48","997.2"
04/01/2025 3:58:00 AM,"831","24.6","48","997.2"
04/01/2025 3:59:00 AM,"831","24.6","48","997.2"
04/01/2025 4:00:00 AM,"831","24.6","48","997.2"
04/01/2025 4:01:00 AM,"831","24.6","48","997.2"
04/01/2025 4:02:00 AM,"850","24.6","48","997.2"
04/01/2025 4:03:00 AM,"850","24.6","48","997.2"
04/01/2025 4:04:00 AM,"850","24.6","48","997.2"
04/01/2025 4:05:00 AM,"850","24.6","48","997.2"
04/01/2025 4:06:00 AM,"850","24.6","48","997.2"
04/01/2025 4:07:00 AM,"835","24.6","48","997.2"
04/01/2025 4:08:00 AM,"835","24.6","48","997.2"
04/01/2025 4:09:00 AM,"835","24.6","48","997.2"
04/01/2025 4:10:00 AM,"835","24.6","48","997.2"
04/01/2025 4:11:00 AM,"835","24.6","48","997.2"
04/01/2025 4:12:00 AM,"843","24.6","48","997.4"
04/01/2025 4:13:00 AM,"843","24.6","48","997.4"
04/01/2025 4:14:00 AM,"843","24.6","48","997.4"
04/01/2025 4:15:00 AM,"843","24.6","48","997.4"
04/01/2025 4:16:00 AM,"843","24.6","48","997.4"
04/01/2025 4:17:00 AM,"859","24.6","48","997.2"
04/01/2025 4:18:00 AM,"859","24.6","48","997.2"
04/01/2025 4:19:00 AM,"859","24.6","48","997.2"
04/01/2025 4:20:00 AM,"859","24.6","48","997.2"
04/01/2025 4:21:00 AM,"859","24.6","48","997.2"
04/01/2025 4:22:00 AM,"841","24.6","48","997.1"
04/01/2025 4:23:00 AM,"841","24.6","48","997.1"
04/01/2025 4:24:00 AM,"841","24.6","48","997.1"
04/01/2025 4:25:00 AM,"841","24.6","48","997.1"
04/01/2025 4:26:00 AM,"841","24.6","48","997.1"
04/01/2025 4:27:00 AM,"864","24.7","48","997.1"
04/01/2025 4:28:00 AM,"864","24.7","48","997.1"
04/01/2025 4:29:00 AM,"864","24.7","48","997.1"
04/01/2025 4:30:00 AM,"864","24.7","48","997.1"
04/01/2025 4:31:00 AM,"864","24.7","48","997.1"
04/01/2025 4:32:00 AM,"854","24.7","48","997.0"
04/01/2025 4:33:00 AM,"854","24.7","48","997.0"
04/01/2025 4:34:00 AM,"854","24.7","48","997.0"
04/01/2025 4:35:00 AM,"854","24.7","48","997.0"
04/01/2025 4:36:00 AM,"854","24.7","48","997.0"
04/01/2025 4:37:00 AM,"838","24.7","48","997.1"
04/01/2025 4:38:00 AM,"838","24.7","48","997.1"
04/01/2025 4:39:00 AM,"838","24.7","48","997.1"
04/01/2025 4:40:00 AM,"838","24.7","48","997.1"
04/01/2025 4:41:00 AM,"838","24.7","48","997.1"
04/01/2025 4:42:00 AM,"846","24.7","48","997.0"
04/01/2025 4:43:00 AM,"846","24.7","48","997.0"
04/01/2025 4:44:00 AM,"846","24.7","48","997.0"
04/01/2025 4:45:00 AM,"846","24.7","48","997.0"
04/01/2025 4:46:00 AM,"846","24.7","48","997.0"
04/01/2025 4:47:00 AM,"862","24.7","48","997.2"
04/01/2025 4:48:00 AM,"862","24.7","48","997.2"
04/01/2025 4:49:00 AM,"862","24.7","48","997.2"
04/01/2025 4:50:00 AM,"862","24.7","48","997.2"
04/01/2025 4:51:00 AM,"862","24.7","48","997.2"
04/01/2025 4:52:00 AM,"845","24.7","48","997.2"
04/01/2025 4:53:00 AM,"845","24.7","48","997.2"
04/01/2025 4:54:00 AM,"845","24.7","48","997.2"
04/01/2025 4:55:00 AM,"845","24.7","48","997.2"
04/01/2025 4:56:00 AM,"845","24.7","48","997.2"
04/01/2025 4:57:00 AM,"856","24.7","48","997.2"
04/01/2025 4:58:00 AM,"856","24.7","48","997.2"
04/01/2025 4:59:00 AM,"856","24.7","48","997.2"
04/01/2025 5:00:00 AM,"856","24.7","48","997.2"
04/01/2025 5:01:00 AM,"856","24.7","48","997.2"
04/01/2025 5:02:00 AM,"867","24.7","48","997.3"
04/01/2025 5:03:00 AM,"867","24.7","48","997.3"
04/01/2025 5:04:00 AM,"867","24.7","48","997.3"
04/01/2025 5:05:00 AM,"867","24.7","48","997.3"
04/01/2025 5:06:00 AM,"867","24.7","48","997.3"
04/01/2025 5:07:00 AM,"855","24.7","48","997.4"
04/01/2025 5:08:00 AM,"855","24.7","48","997.4"
04/01/2025 5:09:00 AM,"855","24.7","48","997.4"
04/01/2025 5:10:00 AM,"855","24.7","48","997.4"
04/01/2025 5:11:00 AM,"855","24.7","48","997.4"
04/01/2025 5:12:00 AM,"857","24.7","48","997.5"
04/01/2025 5:13:00 AM,"857","24.7","48","997.5"
04/01/2025 5:14:00 AM,"857","24.7","48","997.5"
04/01/2025 5:15:00 AM,"857","24.7","48","997.5"
04/01/2025 5:16:00 AM,"857","24.7","48","997.5"
04/01/2025 5:17:00 AM,"858","24.7","48","997.3"
04/01/2025 5:18:00 AM,"858","24.7","48","997.3"
04/01/2025 5:19:00 AM,"858","24.7","48","997.3"
04/01/2025 5:20:00 AM,"858","24.7","48","997.3"
04/01/2025 5:21:00 AM,"858","24.7","48","997.3"
04/01/2025 5:22:00 AM,"875","24.7","48","997.5"
04/01/2025 5:23:00 AM,"875","24.7","48","997.5"
04/01/2025 5:24:00 AM,"875","24.7","48","997.5"
04/01/2025 5:25:00 AM,"875","24.7","48","997.5"
04/01/2025 5:26:00 AM,"875","24.7","48","997.5"
04/01/2025 5:27:00 AM,"877","24.8","48","997.6"
04/01/2025 5:28:00 AM,"877","24.8","48","997.6"
04/01/2025 5:29:00 AM,"877","24.8","48","997.6"
04/01/2025 5:30:00 AM,"877","24.8","48","997.6"
04/01/2025 5:31:00 AM,"877","24.8","48","997.6"
04/01/2025 5:32:00 AM,"865","24.8","48","997.7"
04/01/2025 5:33:00 AM,"865","24.8","48","997.7"
04/01/2025 5:34:00 AM,"865","24.8","48","997.7"
04/01/2025 5:35:00 AM,"865","24.8","48","997.7"
04/01/2025 5:36:00 AM,"865","24.8","48","997.7"
04/01/2025 5:37:00 AM,"864","24.8","48","997.7"
04/01/2025 5:38:01 AM,"864","24.8","48","997.7"
04/01/2025 5:39:01 AM,"864","24.8","48","997.7"
04/01/2025 5:40:01 AM,"864","24.8","48","997.7"
04/01/2025 5:41:01 AM,"864","24.8","48","997.7"
04/01/2025 5:42:01 AM,"879","24.8","48","997.8"
04/01/2025 5:43:01 AM,"879","24.8","48","997.8"
04/01/2025 5:44:01 AM,"879","24.8","48","997.8"
04/01/2025 5:45:01 AM,"879","24.8","48","997.8"
04/01/2025 5:46:01 AM,"879","24.8","48","997.8"
04/01/2025 5:47:01 AM,"878","24.8","48","997.8"
04/01/2025 5:48:01 AM,"878","24.8","48","997.8"
04/01/2025 5:49:01 AM,"878","24.8","48","997.8"
04/01/2025 5:50:01 AM,"878","24.8","48","997.8"
04/01/2025 5:51:01 AM,"878","24.8","48","997.8"
04/01/2025 5:52:01 AM,"861","24.8","48","997.5"
04/01/2025 5:53:01 AM,"861","24.8","48","997.5"
04/01/2025 5:54:01 AM,"861","24.8","48","997.5"
04/01/2025 5:55:01 AM,"861","24.8","48","997.5"
04/01/2025 5:56:01 AM,"861","24.8","48","997.5"
04/01/2025 5:57:01 AM,"874","24.8","48","997.7"
04/01/2025 5:58:01 AM,"874","24.8","48","997.7"
04/01/2025 5:59:01 AM,"874","24.8","48","997.7"
04/01/2025 6:00:01 AM,"874","24.8","48","997.7"
04/01/2025 6:01:01 AM,"874","24.8","48","997.7"
04/01/2025 6:02:01 AM,"869","24.8","48","997.7"
04/01/2025 6:03:01 AM,"869","24.8","48","997.7"
04/01/2025 6:04:01 AM,"869","24.8","48","997.7"
