Time(DD/MM/YYYY h:mm:ss A),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
04/01/2025 4:56:32 AM,"882","24.4","48",""
04/01/2025 4:57:32 AM,"882","24.4","48","997.0"
04/01/2025 4:58:32 AM,"882","24.4","48","997.0"
04/01/2025 4:59:32 AM,"882","24.4","48","997.0"
04/01/2025 5:00:32 AM,"880","24.4","48","997.0"
04/01/2025 5:01:32 AM,"880","24.4","48","997.0"
04/01/2025 5:02:32 AM,"880","24.4","48","997.0"
04/01/2025 5:03:32 AM,"880","24.4","48","997.0"
04/01/2025 5:04:32 AM,"880","24.4","48","997.0"
04/01/2025 5:05:32 AM,"887","24.4","48","997.1"
04/01/2025 5:06:32 AM,"887","24.4","48","997.1"
04/01/2025 5:07:32 AM,"887","24.4","48","997.1"
04/01/2025 5:08:32 AM,"887","24.4","48","997.1"
04/01/2025 5:09:32 AM,"887","24.4","48","997.1"
04/01/2025 5:10:32 AM,"880","24.5","48","997.3"
04/01/2025 5:11:32 AM,"880","24.5","48","997.3"
04/01/2025 5:12:32 AM,"880","24.5","48","997.3"
04/01/2025 5:13:32 AM,"880","24.5","48","997.3"
04/01/2025 5:14:32 AM,"880","24.5","48","997.3"
04/01/2025 5:15:32 AM,"879","24.5","48","997.1"
04/01/2025 5:16:32 AM,"879","24.5","48","997.1"
04/01/2025 5:17:32 AM,"879","24.5","48","997.1"
04/01/2025 5:18:32 AM,"879","24.5","48","997.1"
04/01/2025 5:19:32 AM,"879","24.5","48","997.1"
04/01/2025 5:20:32 AM,"867","24.5","48","997.2"
04/01/2025 5:21:32 AM,"867","24.5","48","997.2"
04/01/2025 5:22:32 AM,"867","24.5","48","997.2"
04/01/2025 5:23:32 AM,"867","24.5","48","997.2"
04/01/2025 5:24:32 AM,"867","24.5","48","997.2"
04/01/2025 5:25:32 AM,"885","24.5","48","997.3"
04/01/2025 5:26:32 AM,"885","24.5","48","997.3"
04/01/2025 5:27:32 AM,"885","24.5","48","997.3"
04/01/2025 5:28:32 AM,"885","24.5","48","997.3"
04/01/2025 5:29:32 AM,"885","24.5","48","997.3"
04/01/2025 5:30:32 AM,"886","24.5","48","997.3"
04/01/2025 5:31:32 AM,"886","24.5","48","997.3"
04/01/2025 5:32:32 AM,"886","24.5","48","997.3"
04/01/2025 5:33:32 AM,"886","24.5","48","997.3"
04/01/2025 5:34:32 AM,"886","24.5","48","997.3"
04/01/2025 5:35:32 AM,"902","24.5","48","997.4"
04/01/2025 5:36:32 AM,"902","24.5","48","997.4"
04/01/2025 5:37:32 AM,"902","24.5","48","997.4"
04/01/2025 5:38:32 AM,"902","24.5","48","997.4"
04/01/2025 5:39:32 AM,"902","24.5","48","997.4"
04/01/2025 5:40:32 AM,"878","24.5","48","997.6"
04/01/2025 5:41:32 AM,"878","24.5","48","997.6"
04/01/2025 5:42:32 AM,"878","24.5","48","997.6"
04/01/2025 5:43:32 AM,"878","24.5","48","997.6"
04/01/2025 5:44:32 AM,"878","24.5","48","997.6"
04/01/2025 5:45:32 AM,"887","24.5","48","997.6"
04/01/2025 5:46:32 AM,"887","24.5","48","997.6"
04/01/2025 5:47:32 AM,"887","24.5","48","997.6"
04/01/2025 5:48:32 AM,"887","24.5","48","997.6"
04/01/2025 5:49:32 AM,"887","24.5","48","997.6"
04/01/2025 5:50:32 AM,"877","24.5","48","997.4"
04/01/2025 5:51:32 AM,"877","24.5","48","997.4"
04/01/2025 5:52:32 AM,"877","24.5","48","997.4"
04/01/2025 5:53:32 AM,"877","24.5","48","997.4"
04/01/2025 5:54:32 AM,"877","24.5","48","997.4"
04/01/2025 5:55:32 AM,"900","24.5","48","997.4"
04/01/2025 5:56:32 AM,"900","24.5","48","997.4"
04/01/2025 5:57:32 AM,"900","24.5","48","997.4"
04/01/2025 5:58:32 AM,"900","24.5","48","997.4"
04/01/2025 5:59:32 AM,"900","24.5","48","997.4"
04/01/2025 6:00:32 AM,"892","24.6","48","997.4"
04/01/2025 6:01:32 AM,"892","24.6","48","997.4"
04/01/2025 6:02:32 AM,"892","24.6","48","997.4"
04/01/2025 6:03:32 AM,"892","24.6","48","997.4"
04/01/2025 6:04:32 AM,"892","24.6","48","997.4"
04/01/2025 6:05:32 AM,"902","24.6","48","997.4"
04/01/2025 6:06:32 AM,"902","24.6","48","997.4"
04/01/2025 6:07:32 AM,"902","24.6","48","997.4"
04/01/2025 6:08:32 AM,"902","24.6","48","997.4"
04/01/2025 6:09:32 AM,"902","24.6","48","997.4"
04/01/2025 6:10:32 AM,"899","24.5","48","997.7"
04/01/2025 6:11:32 AM,"899","24.5","48","997.7"
04/01/2025 6:12:32 AM,"899","24.5","48","997.7"
04/01/2025 6:13:32 AM,"899","24.5","48","997.7"
04/01/2025 6:14:32 AM,"899","24.5","48","997.7"
04/01/2025 6:15:32 AM,"895","24.6","48","997.6"
04/01/2025 6:16:32 AM,"895","24.6","48","997.6"
04/01/2025 6:17:32 AM,"895","24.6","48","997.6"
04/01/2025 6:18:32 AM,"895","24.6","48","997.6"
04/01/2025 6:19:32 AM,"895","24.6","48","997.6"
04/01/2025 6:20:32 AM,"912","24.6","48","997.7"
04/01/2025 6:21:32 AM,"912","24.6","48","997.7"
04/01/2025 6:22:32 AM,"912","24.6","48","997.7"
04/01/2025 6:23:32 AM,"912","24.6","48","997.7"
04/01/2025 6:24:32 AM,"912","24.6","48","997.7"
04/01/2025 6:25:32 AM,"904","24.6","48","997.8"
04/01/2025 6:26:32 AM,"904","24.6","48","997.8"
04/01/2025 6:27:32 AM,"904","24.6","48","997.8"
04/01/2025 6:28:32 AM,"904","24.6","48","997.8"
04/01/2025 6:29:32 AM,"904","24.6","48","997.8"
04/01/2025 6:30:32 AM,"888","24.6","48","997.7"
04/01/2025 6:31:32 AM,"888","24.6","48","997.7"
04/01/2025 6:32:32 AM,"888","24.6","48","997.7"
04/01/2025 6:33:32 AM,"888","24.6","48","997.7"
04/01/2025 6:34:32 AM,"888","24.6","48","997.7"
04/01/2025 6:35:32 AM,"906","24.6","48","997.9"
04/01/2025 6:36:32 AM,"906","24.6","48","997.9"
04/01/2025 6:37:32 AM,"906","24.6","48","997.9"
04/01/2025 6:38:32 AM,"906","24.6","48","997.9"
04/01/2025 6:39:32 AM,"906","24.6","48","997.9"
04/01/2025 6:40:32 AM,"904","24.6","48","998.0"
04/01/2025 6:41:32 AM,"904","24.6","48","998.0"
04/01/2025 6:42:32 AM,"904","24.6","48","998.0"
04/01/2025 6:43:32 AM,"904","24.6","48","998.0"
04/01/2025 6:44:32 AM,"904","24.6","48","998.0"
04/01/2025 6:45:32 AM,"912","24.6","48","998.1"
04/01/2025 6:46:32 AM,"912","24.6","48","998.1"
04/01/2025 6:47:32 AM,"912","24.6","48","998.1"
04/01/2025 6:48:32 AM,"912","24.6","48","998.1"
04/01/2025 6:49:32 AM,"912","24.6","48","998.1"
04/01/2025 6:50:32 AM,"913","24.6","48","998.1"
04/01/2025 6:51:32 AM,"913","24.6","48","998.1"
04/01/2025 6:52:32 AM,"913","24.6","48","998.1"
04/01/2025 6:53:32 AM,"913","24.6","48","998.1"
04/01/2025 6:54:32 AM,"913","24.6","48","998.1"
04/01/2025 6:55:32 AM,"914","24.6","48","998.1"
04/01/2025 6:56:32 AM,"914","24.6","48","998.1"
04/01/2025 6:57:32 AM,"914","24.6","48","998.1"
04/01/2025 6:58:32 AM,"914","24.6","48","998.1"
04/01/2025 6:59:32 AM,"914","24.6","48","998.1"
04/01/2025 7:00:32 AM,"908","24.6","48","998.2"
04/01/2025 7:01:32 AM,"908","24.6","48","998.2"
04/01/2025 7:02:32 AM,"908","24.6","48","998.2"
04/01/2025 7:03:32 AM,"908","24.6","48","998.2"
04/01/2025 7:04:32 AM,"908","24.6","48","998.2"
04/01/2025 7:05:32 AM,"915","24.7","48","998.1"
04/01/2025 7:06:32 AM,"915","24.7","48","998.1"
04/01/2025 7:07:32 AM,"915","24.7","48","998.1"
04/01/2025 7:08:32 AM,"915","24.7","48","998.1"
04/01/2025 7:09:32 AM,"915","24.7","48","998.1"
04/01/2025 7:10:32 AM,"917","24.7","48","998.2"
04/01/2025 7:11:32 AM,"917","24.7","48","998.2"
04/01/2025 7:12:32 AM,"917","24.7","48","998.2"
04/01/2025 7:13:32 AM,"917","24.7","48","998.2"
04/01/2025 7:14:32 AM,"917","24.7","48","998.2"
04/01/2025 7:15:32 AM,"909","24.7","48","998.2"
04/01/2025 7:16:32 AM,"909","24.7","48","998.2"
04/01/2025 7:17:32 AM,"909","24.7","48","998.2"
04/01/2025 7:18:32 AM,"909","24.7","48","998.2"
04/01/2025 7:19:32 AM,"909","24.7","48","998.2"
04/01/2025 7:20:32 AM,"902","24.7","48","998.3"
04/01/2025 7:21:32 AM,"902","24.7","48","998.3"
04/01/2025 7:22:32 AM,"902","24.7","48","998.3"
04/01/2025 7:23:32 AM,"902","24.7","48","998.3"
04/01/2025 7:24:32 AM,"902","24.7","48","998.3"
04/01/2025 7:25:32 AM,"925","24.7","48","998.2"
04/01/2025 7:26:32 AM,"925","24.7","48","998.2"
04/01/2025 7:27:32 AM,"925","24.7","48","998.2"
04/01/2025 7:28:32 AM,"925","24.7","48","998.2"
04/01/2025 7:29:32 AM,"925","24.7","48","998.2"
04/01/2025 7:30:32 AM,"915","24.7","48","998.3"
04/01/2025 7:31:32 AM,"915","24.7","48","998.3"
04/01/2025 7:32:32 AM,"915","24.7","48","998.3"
04/01/2025 7:33:32 AM,"915","24.7","48","998.3"
04/01/2025 7:34:32 AM,"915","24.7","48","998.3"
04/01/2025 7:35:32 AM,"925","24.7","48","998.3"
04/01/2025 7:36:32 AM,"925","24.7","48","998.3"
04/01/2025 7:37:32 AM,"925","24.7","48","998.3"
04/01/2025 7:38:32 AM,"925","24.7","48","998.3"
04/01/2025 7:39:32 AM,"925","24.7","48","998.3"
04/01/2025 7:40:32 AM,"933","24.7","48","998.3"
04/01/2025 7:41:32 AM,"933","24.7","48","998.3"
04/01/2025 7:42:32 AM,"933","24.7","48","998.3"
04/01/2025 7:43:32 AM,"933","24.7","48","998.3"
04/01/2025 7:44:32 AM,"933","24.7","48","998.3"
04/01/2025 7:45:32 AM,"903","24.7","48","998.4"
04/01/2025 7:46:32 AM,"903","24.7","48","998.4"
04/01/2025 7:47:32 AM,"903","24.7","48","998.4"
04/01/2025 7:48:32 AM,"903","24.7","48","998.4"
04/01/2025 7:49:32 AM,"903","24.7","48","998.4"
04/01/2025 7:50:32 AM,"911","24.7","48","998.4"
04/01/2025 7:51:32 AM,"911","24.7","48","998.4"
04/01/2025 7:52:32 AM,"911","24.7","48","998.4"
04/01/2025 7:53:32 AM,"911","24.7","48","998.4"
04/01/2025 7:54:32 AM,"911","24.7","48","998.4"
04/01/2025 7:55:32 AM,"909","24.7","48","998.3"
04/01/2025 7:56:32 AM,"909","24.7","48","998.3"
04/01/2025 7:57:32 AM,"909","24.7","48","998.3"
04/01/2025 7:58:32 AM,"909","24.7","48","998.3"
04/01/2025 7:59:32 AM,"909","24.7","48","998.3"
04/01/2025 8:00:32 AM,"922","24.7","48","998.4"
04/01/2025 8:01:32 AM,"922","24.7","48","998.4"
04/01/2025 8:02:32 AM,"922","24.7","48","998.4"
04/01/2025 8:03:32 AM,"922","24.7","48","998.4"
04/01/2025 8:04:32 AM,"922","24.7","48","998.4"
04/01/2025 8:05:32 AM,"926","24.7","48","998.3"
04/01/2025 8:06:32 AM,"926","24.7","48","998.3"
04/01/2025 8:07:32 AM,"926","24.7","48","998.3"
04/01/2025 8:08:32 AM,"926","24.7","48","998.3"
04/01/2025 8:09:32 AM,"926","24.7","48","998.3"
04/01/2025 8:10:32 AM,"935","24.7","48","998.4"
04/01/2025 8:11:32 AM,"935","24.7","48","998.4"
04/01/2025 8:12:32 AM,"935","24.7","48","998.4"
04/01/2025 8:13:32 AM,"935","24.7","48","998.4"
04/01/2025 8:14:32 AM,"935","24.7","48","998.4"
04/01/2025 8:15:32 AM,"934","24.7","48","998.3"
04/01/2025 8:16:32 AM,"934","24.7","48","998.3"
