Time(DD/MM/YYYY h:mm:ss A),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
02/01/2025 10:27:50 PM,"7176","27.5","67","923.4"
02/01/2025 10:28:50 PM,"7176","27.5","67","923.4"
02/01/2025 10:29:50 PM,"523","22.8","47","1024.6"
02/01/2025 10:30:50 PM,"523","22.8","47","1024.6"
02/01/2025 10:31:50 PM,"523","22.8","47","1024.6"
02/01/2025 10:32:50 PM,"523","22.8","47","1024.6"
02/01/2025 10:33:50 PM,"523","22.8","47","1024.6"
02/01/2025 10:34:50 PM,"545","22.8","47","1024.4"
02/01/2025 10:35:50 PM,"545","22.8","47","1024.4"
02/01/2025 10:36:50 PM,"545","22.8","47","1024.4"
02/01/2025 10:37:50 PM,"545","22.8","47","1024.4"
02/01/2025 10:38:50 PM,"545","22.8","47","1024.4"
02/01/2025 10:39:50 PM,"548","22.8","47","1024.5"
02/01/2025 10:40:50 PM,"548","22.8","47","1024.5"
02/01/2025 10:41:50 PM,"548","22.8","47","1024.5"
02/01/2025 10:42:50 PM,"548","22.8","47","1024.5"
02/01/2025 10:43:50 PM,"548","22.8","47","1024.5"
02/01/2025 10:44:50 PM,"546","22.8","46","1024.5"
02/01/2025 10:45:50 PM,"546","22.8","46","1024.5"
02/01/2025 10:46:50 PM,"546","22.8","46","1024.5"
02/01/2025 10:47:50 PM,"546","22.8","46","1024.5"
02/01/2025 10:48:50 PM,"546","22.8","46","1024.5"
02/01/2025 10:49:50 PM,"546","22.8","47","1024.5"
02/01/2025 10:50:50 PM,"546","22.8","47","1024.5"
02/01/2025 10:51:50 PM,"546","22.8","47","1024.5"
02/01/2025 10:52:50 PM,"546","22.8","47","1024.5"
02/01/2025 10:53:50 PM,"546","22.8","47","1024.5"
02/01/2025 10:54:50 PM,"550","22.8","46","1024.5"
02/01/2025 10:55:50 PM,"550","22.8","46","1024.5"
02/01/2025 10:56:50 PM,"550","22.8","46","1024.5"
02/01/2025 10:57:50 PM,"550","22.8","46","1024.5"
02/01/2025 10:58:50 PM,"550","22.8","46","1024.5"
02/01/2025 10:59:50 PM,"543","22.8","46","1024.5"
02/01/2025 11:00:50 PM,"543","22.8","46","1024.5"
02/01/2025 11:01:50 PM,"543","22.8","46","1024.5"
02/01/2025 11:02:50 PM,"543","22.8","46","1024.5"
02/01/2025 11:03:50 PM,"543","22.8","46","1024.5"
02/01/2025 11:04:50 PM,"544","22.8","46","1024.4"
02/01/2025 11:05:50 PM,"544","22.8","46","1024.4"
02/01/2025 11:06:50 PM,"544","22.8","46","1024.4"
02/01/2025 11:07:50 PM,"544","22.8","46","1024.4"
02/01/2025 11:08:50 PM,"544","22.8","46","1024.4"
02/01/2025 11:09:50 PM,"555","22.8","47","1024.4"
02/01/2025 11:10:50 PM,"555","22.8","47","1024.4"
02/01/2025 11:11:50 PM,"555","22.8","47","1024.4"
02/01/2025 11:12:50 PM,"555","22.8","47","1024.4"
02/01/2025 11:13:50 PM,"555","22.8","47","1024.4"
02/01/2025 11:14:50 PM,"540","22.8","46","1024.4"
02/01/2025 11:15:50 PM,"540","22.8","46","1024.4"
02/01/2025 11:16:50 PM,"540","22.8","46","1024.4"
02/01/2025 11:17:50 PM,"540","22.8","46","1024.4"
02/01/2025 11:18:50 PM,"540","22.8","46","1024.4"
02/01/2025 11:19:50 PM,"552","22.8","47","1024.4"
02/01/2025 11:20:50 PM,"552","22.8","47","1024.4"
02/01/2025 11:21:50 PM,"552","22.8","47","1024.4"
02/01/2025 11:22:50 PM,"552","22.8","47","1024.4"
02/01/2025 11:23:50 PM,"552","22.8","47","1024.4"
02/01/2025 11:24:50 PM,"550","22.8","46","1024.3"
02/01/2025 11:25:50 PM,"550","22.8","46","1024.3"
02/01/2025 11:26:50 PM,"550","22.8","46","1024.3"
02/01/2025 11:27:50 PM,"550","22.8","46","1024.3"
02/01/2025 11:28:50 PM,"550","22.8","46","1024.3"
02/01/2025 11:29:50 PM,"548","22.8","47","1024.3"
02/01/2025 11:30:50 PM,"548","22.8","47","1024.3"
02/01/2025 11:31:50 PM,"548","22.8","47","1024.3"
02/01/2025 11:32:50 PM,"548","22.8","47","1024.3"
02/01/2025 11:33:50 PM,"548","22.8","47","1024.3"
02/01/2025 11:34:50 PM,"538","22.8","46","1024.3"
02/01/2025 11:35:50 PM,"538","22.8","46","1024.3"
02/01/2025 11:36:50 PM,"538","22.8","46","1024.3"
02/01/2025 11:37:50 PM,"538","22.8","46","1024.3"
02/01/2025 11:38:50 PM,"538","22.8","46","1024.3"
02/01/2025 11:39:50 PM,"534","22.8","46","1024.3"
02/01/2025 11:40:50 PM,"534","22.8","46","1024.3"
02/01/2025 11:41:50 PM,"534","22.8","46","1024.3"
02/01/2025 11:42:50 PM,"534","22.8","46","1024.3"
02/01/2025 11:43:50 PM,"534","22.8","46","1024.3"
02/01/2025 11:44:50 PM,"535","22.8","46","1024.3"
02/01/2025 11:45:50 PM,"535","22.8","46","1024.3"
02/01/2025 11:46:50 PM,"535","22.8","46","1024.3"
02/01/2025 11:47:50 PM,"535","22.8","46","1024.3"
02/01/2025 11:48:50 PM,"535","22.8","46","1024.3"
02/01/2025 11:49:50 PM,"531","22.8","46","1024.3"
02/01/2025 11:50:50 PM,"531","22.8","46","1024.3"
02/01/2025 11:51:50 PM,"531","22.8","46","1024.3"
02/01/2025 11:52:50 PM,"531","22.8","46","1024.3"
02/01/2025 11:53:50 PM,"531","22.8","46","1024.3"
02/01/2025 11:54:50 PM,"539","22.8","46","1024.3"
02/01/2025 11:55:50 PM,"539","22.8","46","1024.3"
02/01/2025 11:56:50 PM,"539","22.8","46","1024.3"
02/01/2025 11:57:50 PM,"539","22.8","46","1024.3"
02/01/2025 11:58:50 PM,"539","22.8","46","1024.3"
02/01/2025 11:59:50 PM,"545","22.8","46","1024.2"
03/01/2025 12:00:50 AM,"545","22.8","46","1024.2"
03/01/2025 12:01:50 AM,"545","22.8","46","1024.2"
03/01/2025 12:02:50 AM,"545","22.8","46","1024.2"
03/01/2025 12:03:50 AM,"545","22.8","46","1024.2"
03/01/2025 12:04:50 AM,"536","22.7","46","1024.2"
03/01/2025 12:05:50 AM,"536","22.7","46","1024.2"
03/01/2025 12:06:50 AM,"536","22.7","46","1024.2"
03/01/2025 12:07:50 AM,"536","22.7","46","1024.2"
03/01/2025 12:08:50 AM,"536","22.7","46","1024.2"
03/01/2025 12:09:50 AM,"543","22.7","46","1024.2"
03/01/2025 12:10:50 AM,"543","22.7","46","1024.2"
03/01/2025 12:11:50 AM,"543","22.7","46","1024.2"
03/01/2025 12:12:50 AM,"543","22.7","46","1024.2"
