Time(DD/MM/YYYY h:mm:ss A),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
01/01/2025 9:27:37 PM,"477","23.4","49","1021.9"
01/01/2025 9:28:37 PM,"481","23.4","49","1021.9"
01/01/2025 9:29:37 PM,"481","23.4","49","1021.9"
01/01/2025 9:30:37 PM,"481","23.4","49","1021.9"
01/01/2025 9:31:37 PM,"481","23.4","49","1021.9"
01/01/2025 9:32:37 PM,"481","23.4","49","1021.9"
01/01/2025 9:33:37 PM,"486","23.4","49","1021.7"
01/01/2025 9:34:37 PM,"486","23.4","49","1021.7"
01/01/2025 9:35:37 PM,"486","23.4","49","1021.7"
01/01/2025 9:36:37 PM,"486","23.4","49","1021.7"
01/01/2025 9:37:37 PM,"486","23.4","49","1021.7"
01/01/2025 9:38:37 PM,"492","23.4","49","1021.7"
01/01/2025 9:39:37 PM,"492","23.4","49","1021.7"
01/01/2025 9:40:37 PM,"492","23.4","49","1021.7"
01/01/2025 9:41:37 PM,"492","23.4","49","1021.7"
01/01/2025 9:42:37 PM,"492","23.4","49","1021.7"
01/01/2025 9:43:37 PM,"481","23.4","49","1021.7"
01/01/2025 9:44:37 PM,"481","23.4","49","1021.7"
01/01/2025 9:45:37 PM,"481","23.4","49","1021.7"
01/01/2025 9:46:37 PM,"481","23.4","49","1021.7"
01/01/2025 9:47:37 PM,"481","23.4","49","1021.7"
01/01/2025 9:48:37 PM,"495","23.5","49","1021.8"
01/01/2025 9:49:37 PM,"495","23.5","49","1021.8"
01/01/2025 9:50:37 PM,"495","23.5","49","1021.8"
01/01/2025 9:51:37 PM,"495","23.5","49","1021.8"
01/01/2025 9:52:37 PM,"495","23.5","49","1021.8"
01/01/2025 9:53:37 PM,"477","23.5","49","1021.8"
01/01/2025 9:54:37 PM,"477","23.5","49","1021.8"
01/01/2025 9:55:37 PM,"477","23.5","49","1021.8"
01/01/2025 9:56:37 PM,"477","23.5","49","1021.8"
01/01/2025 9:57:37 PM,"477","23.5","49","1021.8"
01/01/2025 9:58:37 PM,"491","23.5","49","1021.8"
01/01/2025 9:59:37 PM,"491","23.5","49","1021.8"
01/01/2025 10:00:37 PM,"491","23.5","49","1021.8"
01/01/2025 10:01:37 PM,"491","23.5","49","1021.8"
01/01/2025 10:02:37 PM,"491","23.5","49","1021.8"
01/01/2025 10:03:37 PM,"490","23.4","49","1021.6"
01/01/2025 10:04:37 PM,"490","23.4","49","1021.6"
01/01/2025 10:05:37 PM,"490","23.4","49","1021.6"
01/01/2025 10:06:37 PM,"490","23.4","49","1021.6"
01/01/2025 10:07:37 PM,"490","23.4","49","1021.6"
01/01/2025 10:08:37 PM,"483","23.5","49","1021.7"
01/01/2025 10:09:37 PM,"483","23.5","49","1021.7"
01/01/2025 10:10:37 PM,"483","23.5","49","1021.7"
01/01/2025 10:11:37 PM,"483","23.5","49","1021.7"
