Time(DD/MM/YYYY h:mm:ss A),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
05/01/2025 12:55:26 AM,"889","","",""
05/01/2025 12:56:26 AM,"889","24.3","47","967.2"
05/01/2025 12:57:26 AM,"889","24.3","47","967.2"
05/01/2025 12:58:26 AM,"889","24.3","47","967.2"
05/01/2025 12:59:26 AM,"889","24.3","47","967.2"
05/01/2025 1:00:26 AM,"891","24.2","47","967.2"
05/01/2025 1:01:26 AM,"891","24.2","47","967.2"
05/01/2025 1:02:26 AM,"891","24.2","47","967.2"
05/01/2025 1:03:26 AM,"891","24.2","47","967.2"
05/01/2025 1:04:26 AM,"891","24.2","47","967.2"
05/01/2025 1:05:26 AM,"893","24.2","47","967.0"
05/01/2025 1:06:26 AM,"893","24.2","47","967.0"
05/01/2025 1:07:26 AM,"893","24.2","47","967.0"
05/01/2025 1:08:26 AM,"893","24.2","47","967.0"
05/01/2025 1:09:26 AM,"893","24.2","47","967.0"
05/01/2025 1:10:26 AM,"912","24.2","47","967.0"
05/01/2025 1:11:26 AM,"912","24.2","47","967.0"
05/01/2025 1:12:26 AM,"912","24.2","47","967.0"
05/01/2025 1:13:26 AM,"912","24.2","47","967.0"
05/01/2025 1:14:26 AM,"912","24.2","47","967.0"
05/01/2025 1:15:26 AM,"890","24.1","47","967.0"
05/01/2025 1:16:26 AM,"890","24.1","47","967.0"
05/01/2025 1:17:26 AM,"890","24.1","47","967.0"
05/01/2025 1:18:26 AM,"890","24.1","47","967.0"
05/01/2025 1:19:26 AM,"890","24.1","47","967.0"
05/01/2025 1:20:26 AM,"872","24.1","47","967.0"
05/01/2025 1:21:26 AM,"872","24.1","47","967.0"
05/01/2025 1:22:26 AM,"872","24.1","47","967.0"
05/01/2025 1:23:26 AM,"872","24.1","47","967.0"
05/01/2025 1:24:26 AM,"872","24.1","47","967.0"
05/01/2025 1:25:26 AM,"897","24.1","47","966.9"
05/01/2025 1:26:26 AM,"897","24.1","47","966.9"
05/01/2025 1:27:26 AM,"897","24.1","47","966.9"
05/01/2025 1:28:26 AM,"897","24.1","47","966.9"
05/01/2025 1:29:26 AM,"897","24.1","47","966.9"
05/01/2025 1:30:26 AM,"910","24.0","47","966.8"
05/01/2025 1:31:26 AM,"910","24.0","47","966.8"
05/01/2025 1:32:26 AM,"910","24.0","47","966.8"
05/01/2025 1:33:26 AM,"910","24.0","47","966.8"
05/01/2025 1:34:26 AM,"910","24.0","47","966.8"
05/01/2025 1:35:26 AM,"899","24.0","47","966.6"
05/01/2025 1:36:26 AM,"899","24.0","47","966.6"
05/01/2025 1:37:26 AM,"899","24.0","47","966.6"
05/01/2025 1:38:26 AM,"899","24.0","47","966.6"
05/01/2025 1:39:26 AM,"899","24.0","47","966.6"
05/01/2025 1:40:26 AM,"897","24.0","47","966.7"
05/01/2025 1:41:26 AM,"897","24.0","47","966.7"
05/01/2025 1:42:26 AM,"897","24.0","47","966.7"
05/01/2025 1:43:26 AM,"897","24.0","47","966.7"
05/01/2025 1:44:26 AM,"897","24.0","47","966.7"
05/01/2025 1:45:26 AM,"901","24.0","47","966.6"
05/01/2025 1:46:26 AM,"901","24.0","47","966.6"
05/01/2025 1:47:26 AM,"901","24.0","47","966.6"
05/01/2025 1:48:26 AM,"901","24.0","47","966.6"
05/01/2025 1:49:26 AM,"901","24.0","47","966.6"
05/01/2025 1:50:26 AM,"894","24.0","47","966.5"
05/01/2025 1:51:26 AM,"894","24.0","47","966.5"
