Time(DD/MM/YYYY h:mm:ss A),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
05/01/2025 2:42:46 AM,"915","23.5","46","965.7"
05/01/2025 2:43:46 AM,"915","23.5","46","965.7"
05/01/2025 2:44:46 AM,"915","23.5","46","965.7"
05/01/2025 2:45:46 AM,"915","23.5","46","965.7"
05/01/2025 2:46:46 AM,"915","23.5","46","965.7"
05/01/2025 2:47:46 AM,"913","23.5","46","965.8"
05/01/2025 2:48:46 AM,"913","23.5","46","965.8"
05/01/2025 2:49:46 AM,"913","23.5","46","965.8"
05/01/2025 2:50:46 AM,"913","23.5","46","965.8"
05/01/2025 2:51:46 AM,"913","23.5","46","965.8"
05/01/2025 2:52:46 AM,"912","23.4","46","965.8"
05/01/2025 2:53:46 AM,"912","23.4","46","965.8"
05/01/2025 2:54:46 AM,"912","23.4","46","965.8"
05/01/2025 2:55:46 AM,"912","23.4","46","965.8"
05/01/2025 2:56:46 AM,"912","23.4","46","965.8"
05/01/2025 2:57:46 AM,"908","23.4","46","965.7"
05/01/2025 2:58:46 AM,"908","23.4","46","965.7"
05/01/2025 2:59:46 AM,"908","23.4","46","965.7"
05/01/2025 3:00:46 AM,"908","23.4","46","965.7"
05/01/2025 3:01:46 AM,"908","23.4","46","965.7"
05/01/2025 3:02:46 AM,"927","23.4","46","965.8"
05/01/2025 3:03:46 AM,"927","23.4","46","965.8"
05/01/2025 3:04:46 AM,"927","23.4","46","965.8"
05/01/2025 3:05:46 AM,"927","23.4","46","965.8"
05/01/2025 3:06:46 AM,"927","23.4","46","965.8"
05/01/2025 3:07:46 AM,"913","23.4","46","965.8"
05/01/2025 3:08:46 AM,"913","23.4","46","965.8"
05/01/2025 3:09:46 AM,"913","23.4","46","965.8"
05/01/2025 3:10:46 AM,"913","23.4","46","965.8"
05/01/2025 3:11:46 AM,"913","23.4","46","965.8"
05/01/2025 3:12:46 AM,"929","23.3","46","965.7"
05/01/2025 3:13:46 AM,"929","23.3","46","965.7"
05/01/2025 3:14:46 AM,"929","23.3","46","965.7"
05/01/2025 3:15:46 AM,"929","23.3","46","965.7"
05/01/2025 3:16:46 AM,"929","23.3","46","965.7"
05/01/2025 3:17:46 AM,"926","23.4","46","965.7"
05/01/2025 3:18:46 AM,"926","23.4","46","965.7"
05/01/2025 3:19:46 AM,"926","23.4","46","965.7"
05/01/2025 3:20:46 AM,"926","23.4","46","965.7"
05/01/2025 3:21:46 AM,"926","23.4","46","965.7"
05/01/2025 3:22:46 AM,"938","23.3","46","965.7"
05/01/2025 3:23:46 AM,"938","23.3","46","965.7"
05/01/2025 3:24:46 AM,"938","23.3","46","965.7"
05/01/2025 3:25:46 AM,"938","23.3","46","965.7"
05/01/2025 3:26:46 AM,"938","23.3","46","965.7"
05/01/2025 3:27:46 AM,"920","23.3","46","965.8"
05/01/2025 3:28:46 AM,"920","23.3","46","965.8"
05/01/2025 3:29:46 AM,"920","23.3","46","965.8"
05/01/2025 3:30:46 AM,"920","23.3","46","965.8"
05/01/2025 3:31:46 AM,"920","23.3","46","965.8"
05/01/2025 3:32:46 AM,"931","23.3","46","965.9"
05/01/2025 3:33:46 AM,"931","23.3","46","965.9"
05/01/2025 3:34:46 AM,"931","23.3","46","965.9"
05/01/2025 3:35:46 AM,"931","23.3","46","965.9"
05/01/2025 3:36:46 AM,"931","23.3","46","965.9"
05/01/2025 3:37:46 AM,"941","23.2","46","965.9"
05/01/2025 3:38:46 AM,"941","23.2","46","965.9"
05/01/2025 3:39:46 AM,"941","23.2","46","965.9"
05/01/2025 3:40:46 AM,"941","23.2","46","965.9"
05/01/2025 3:41:46 AM,"941","23.2","46","965.9"
05/01/2025 3:42:46 AM,"919","23.3","46","965.9"
05/01/2025 3:43:46 AM,"919","23.3","46","965.9"
05/01/2025 3:44:46 AM,"919","23.3","46","965.9"
05/01/2025 3:45:46 AM,"919","23.3","46","965.9"
05/01/2025 3:46:46 AM,"919","23.3","46","965.9"
05/01/2025 3:47:46 AM,"921","23.2","47","965.8"
05/01/2025 3:48:46 AM,"921","23.2","47","965.8"
05/01/2025 3:49:46 AM,"921","23.2","47","965.8"
05/01/2025 3:50:46 AM,"921","23.2","47","965.8"
05/01/2025 3:51:46 AM,"921","23.2","47","965.8"
05/01/2025 3:52:46 AM,"925","23.2","47","965.8"
05/01/2025 3:53:46 AM,"925","23.2","47","965.8"
05/01/2025 3:54:46 AM,"925","23.2","47","965.8"
05/01/2025 3:55:46 AM,"925","23.2","47","965.8"
05/01/2025 3:56:46 AM,"925","23.2","47","965.8"
05/01/2025 3:57:46 AM,"949","23.2","47","966.0"
05/01/2025 3:58:46 AM,"949","23.2","47","966.0"
05/01/2025 3:59:46 AM,"949","23.2","47","966.0"
05/01/2025 4:00:46 AM,"949","23.2","47","966.0"
05/01/2025 4:01:46 AM,"949","23.2","47","966.0"
05/01/2025 4:02:46 AM,"945","23.2","47","966.0"
05/01/2025 4:03:46 AM,"945","23.2","47","966.0"
05/01/2025 4:04:46 AM,"945","23.2","47","966.0"
05/01/2025 4:05:46 AM,"945","23.2","47","966.0"
05/01/2025 4:06:46 AM,"945","23.2","47","966.0"
05/01/2025 4:07:46 AM,"936","23.2","47","966.0"
05/01/2025 4:08:46 AM,"936","23.2","47","966.0"
05/01/2025 4:09:46 AM,"936","23.2","47","966.0"
05/01/2025 4:10:46 AM,"936","23.2","47","966.0"
05/01/2025 4:11:46 AM,"936","23.2","47","966.0"
05/01/2025 4:12:46 AM,"940","23.2","47","966.1"
05/01/2025 4:13:46 AM,"940","23.2","47","966.1"
05/01/2025 4:14:46 AM,"940","23.2","47","966.1"
05/01/2025 4:15:46 AM,"940","23.2","47","966.1"
05/01/2025 4:16:46 AM,"940","23.2","47","966.1"
05/01/2025 4:17:46 AM,"969","23.1","47","966.2"
05/01/2025 4:18:46 AM,"969","23.1","47","966.2"
05/01/2025 4:19:46 AM,"969","23.1","47","966.2"
05/01/2025 4:20:46 AM,"969","23.1","47","966.2"
05/01/2025 4:21:46 AM,"969","23.1","47","966.2"
05/01/2025 4:22:46 AM,"948","23.1","47","966.3"
05/01/2025 4:23:46 AM,"948","23.1","47","966.3"
05/01/2025 4:24:46 AM,"948","23.1","47","966.3"
05/01/2025 4:25:46 AM,"948","23.1","47","966.3"
05/01/2025 4:26:46 AM,"948","23.1","47","966.3"
05/01/2025 4:27:46 AM,"947","23.1","47","966.4"
05/01/2025 4:28:46 AM,"947","23.1","47","966.4"
05/01/2025 4:29:46 AM,"947","23.1","47","966.4"
05/01/2025 4:30:46 AM,"947","23.1","47","966.4"
05/01/2025 4:31:46 AM,"947","23.1","47","966.4"
05/01/2025 4:32:46 AM,"946","23.1","47","966.4"
05/01/2025 4:33:46 AM,"946","23.1","47","966.4"
05/01/2025 4:34:46 AM,"946","23.1","47","966.4"
05/01/2025 4:35:46 AM,"946","23.1","47","966.4"
05/01/2025 4:36:46 AM,"946","23.1","47","966.4"
05/01/2025 4:37:46 AM,"951","23.1","47","966.5"
05/01/2025 4:38:46 AM,"951","23.1","47","966.5"
05/01/2025 4:39:46 AM,"951","23.1","47","966.5"
05/01/2025 4:40:46 AM,"951","23.1","47","966.5"
05/01/2025 4:41:46 AM,"951","23.1","47","966.5"
05/01/2025 4:42:46 AM,"959","23.0","47","966.6"
05/01/2025 4:43:46 AM,"959","23.0","47","966.6"
05/01/2025 4:44:46 AM,"959","23.0","47","966.6"
05/01/2025 4:45:46 AM,"959","23.0","47","966.6"
05/01/2025 4:46:46 AM,"959","23.0","47","966.6"
05/01/2025 4:47:46 AM,"969","23.1","47","966.6"
05/01/2025 4:48:46 AM,"969","23.1","47","966.6"
05/01/2025 4:49:46 AM,"969","23.1","47","966.6"
05/01/2025 4:50:46 AM,"969","23.1","47","966.6"
05/01/2025 4:51:46 AM,"969","23.1","47","966.6"
05/01/2025 4:52:46 AM,"961","23.0","47","966.7"
05/01/2025 4:53:46 AM,"961","23.0","47","966.7"
05/01/2025 4:54:46 AM,"961","23.0","47","966.7"
05/01/2025 4:55:46 AM,"961","23.0","47","966.7"
05/01/2025 4:56:46 AM,"961","23.0","47","966.7"
05/01/2025 4:57:46 AM,"957","23.0","47","966.7"
05/01/2025 4:58:46 AM,"957","23.0","47","966.7"
05/01/2025 4:59:46 AM,"957","23.0","47","966.7"
05/01/2025 5:00:46 AM,"957","23.0","47","966.7"
05/01/2025 5:01:46 AM,"957","23.0","47","966.7"
05/01/2025 5:02:46 AM,"954","23.0","47","966.7"
05/01/2025 5:03:46 AM,"954","23.0","47","966.7"
05/01/2025 5:04:46 AM,"954","23.0","47","966.7"
05/01/2025 5:05:46 AM,"954","23.0","47","966.7"
05/01/2025 5:06:46 AM,"954","23.0","47","966.7"
05/01/2025 5:07:46 AM,"965","23.0","47","966.7"
05/01/2025 5:08:46 AM,"965","23.0","47","966.7"
05/01/2025 5:09:46 AM,"965","23.0","47","966.7"
05/01/2025 5:10:46 AM,"965","23.0","47","966.7"
05/01/2025 5:11:46 AM,"965","23.0","47","966.7"
05/01/2025 5:12:46 AM,"972","23.0","47","966.7"
05/01/2025 5:13:46 AM,"972","23.0","47","966.7"
05/01/2025 5:14:46 AM,"972","23.0","47","966.7"
05/01/2025 5:15:46 AM,"972","23.0","47","966.7"
05/01/2025 5:16:46 AM,"972","23.0","47","966.7"
05/01/2025 5:17:46 AM,"957","23.0","47","966.7"
05/01/2025 5:18:46 AM,"957","23.0","47","966.7"
05/01/2025 5:19:46 AM,"957","23.0","47","966.7"
05/01/2025 5:20:46 AM,"957","23.0","47","966.7"
05/01/2025 5:21:46 AM,"957","23.0","47","966.7"
05/01/2025 5:22:46 AM,"951","23.0","47","966.8"
05/01/2025 5:23:46 AM,"951","23.0","47","966.8"
05/01/2025 5:24:46 AM,"951","23.0","47","966.8"
05/01/2025 5:25:46 AM,"951","23.0","47","966.8"
05/01/2025 5:26:46 AM,"951","23.0","47","966.8"
05/01/2025 5:27:46 AM,"973","22.9","47","966.9"
05/01/2025 5:28:46 AM,"973","22.9","47","966.9"
05/01/2025 5:29:46 AM,"973","22.9","47","966.9"
05/01/2025 5:30:46 AM,"973","22.9","47","966.9"
05/01/2025 5:31:46 AM,"973","22.9","47","966.9"
05/01/2025 5:32:46 AM,"994","22.9","47","967.0"
05/01/2025 5:33:46 AM,"994","22.9","47","967.0"
05/01/2025 5:34:46 AM,"994","22.9","47","967.0"
05/01/2025 5:35:46 AM,"994","22.9","47","967.0"
05/01/2025 5:36:46 AM,"994","22.9","47","967.0"
05/01/2025 5:37:46 AM,"993","22.9","47","966.9"
05/01/2025 5:38:46 AM,"993","22.9","47","966.9"
05/01/2025 5:39:46 AM,"993","22.9","47","966.9"
05/01/2025 5:40:46 AM,"993","22.9","47","966.9"
05/01/2025 5:41:46 AM,"993","22.9","47","966.9"
05/01/2025 5:42:46 AM,"994","22.9","47","967.0"
05/01/2025 5:43:46 AM,"994","22.9","47","967.0"
05/01/2025 5:44:46 AM,"994","22.9","47","967.0"
05/01/2025 5:45:46 AM,"994","22.9","47","967.0"
05/01/2025 5:46:46 AM,"994","22.9","47","967.0"
05/01/2025 5:47:46 AM,"969","22.9","47","966.9"
05/01/2025 5:48:46 AM,"969","22.9","47","966.9"
05/01/2025 5:49:46 AM,"969","22.9","47","966.9"
