Time(DD/MM/YYYY h:mm:ss A),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
05/01/2025 11:13:57 PM,"462","21.9","98","930.8"
05/01/2025 11:14:57 PM,"462","21.9","98","930.8"
05/01/2025 11:15:57 PM,"462","21.9","98","930.8"
05/01/2025 11:16:57 PM,"852","23.1","53","951.2"
05/01/2025 11:17:57 PM,"852","23.1","53","951.2"
05/01/2025 11:18:57 PM,"852","23.1","53","951.2"
05/01/2025 11:19:57 PM,"852","23.1","53","951.2"
05/01/2025 11:20:57 PM,"852","23.1","53","951.2"
05/01/2025 11:21:57 PM,"878","22.5","54","951.2"
05/01/2025 11:22:57 PM,"878","22.5","54","951.2"
05/01/2025 11:23:57 PM,"878","22.5","54","951.2"
05/01/2025 11:24:57 PM,"878","22.5","54","951.2"
05/01/2025 11:25:57 PM,"878","22.5","54","951.2"
05/01/2025 11:26:57 PM,"981","22.2","55","951.2"
05/01/2025 11:27:57 PM,"981","22.2","55","951.2"
05/01/2025 11:28:57 PM,"981","22.2","55","951.2"
05/01/2025 11:29:57 PM,"981","22.2","55","951.2"
05/01/2025 11:30:57 PM,"981","22.2","55","951.2"
05/01/2025 11:31:57 PM,"950","21.9","55","951.3"
05/01/2025 11:32:57 PM,"950","21.9","55","951.3"
05/01/2025 11:33:57 PM,"950","21.9","55","951.3"
05/01/2025 11:34:57 PM,"950","21.9","55","951.3"
05/01/2025 11:35:57 PM,"950","21.9","55","951.3"
05/01/2025 11:36:57 PM,"972","21.8","55","951.2"
05/01/2025 11:37:57 PM,"972","21.8","55","951.2"
05/01/2025 11:38:57 PM,"972","21.8","55","951.2"
05/01/2025 11:39:57 PM,"972","21.8","55","951.2"
05/01/2025 11:40:57 PM,"972","21.8","55","951.2"
05/01/2025 11:41:57 PM,"1038","21.6","55","951.2"
05/01/2025 11:42:57 PM,"1038","21.6","55","951.2"
05/01/2025 11:43:57 PM,"1038","21.6","55","951.2"
05/01/2025 11:44:57 PM,"1038","21.6","55","951.2"
05/01/2025 11:45:57 PM,"1038","21.6","55","951.2"
05/01/2025 11:46:57 PM,"1036","21.5","55","951.1"
05/01/2025 11:47:57 PM,"1036","21.5","55","951.1"
05/01/2025 11:48:57 PM,"1036","21.5","55","951.1"
05/01/2025 11:49:57 PM,"1036","21.5","55","951.1"
05/01/2025 11:50:57 PM,"1036","21.5","55","951.1"
05/01/2025 11:51:57 PM,"1051","21.4","55","951.1"
05/01/2025 11:52:57 PM,"1051","21.4","55","951.1"
05/01/2025 11:53:57 PM,"1051","21.4","55","951.1"
05/01/2025 11:54:57 PM,"1051","21.4","55","951.1"
05/01/2025 11:55:57 PM,"1051","21.4","55","951.1"
05/01/2025 11:56:57 PM,"1041","21.4","55","951.0"
05/01/2025 11:57:57 PM,"1041","21.4","55","951.0"
05/01/2025 11:58:57 PM,"1041","21.4","55","951.0"
05/01/2025 11:59:57 PM,"1041","21.4","55","951.0"
06/01/2025 12:00:57 AM,"1041","21.4","55","951.0"
06/01/2025 12:01:57 AM,"1034","21.3","55","950.9"
06/01/2025 12:02:57 AM,"1034","21.3","55","950.9"
06/01/2025 12:03:57 AM,"1034","21.3","55","950.9"
06/01/2025 12:04:57 AM,"1034","21.3","55","950.9"
06/01/2025 12:05:57 AM,"1034","21.3","55","950.9"
06/01/2025 12:06:57 AM,"1050","21.3","55","950.9"
06/01/2025 12:07:57 AM,"1050","21.3","55","950.9"
06/01/2025 12:08:57 AM,"1050","21.3","55","950.9"
06/01/2025 12:09:57 AM,"1050","21.3","55","950.9"
06/01/2025 12:10:57 AM,"1050","21.3","55","950.9"
06/01/2025 12:11:57 AM,"1055","21.2","55","950.9"
06/01/2025 12:12:57 AM,"1055","21.2","55","950.9"
06/01/2025 12:13:57 AM,"1055","21.2","55","950.9"
06/01/2025 12:14:57 AM,"1055","21.2","55","950.9"
06/01/2025 12:15:57 AM,"1055","21.2","55","950.9"
06/01/2025 12:16:57 AM,"1049","21.2","55","950.8"
06/01/2025 12:17:57 AM,"1049","21.2","55","950.8"
06/01/2025 12:18:57 AM,"1049","21.2","55","950.8"
06/01/2025 12:19:57 AM,"1049","21.2","55","950.8"
06/01/2025 12:20:57 AM,"1049","21.2","55","950.8"
06/01/2025 12:21:57 AM,"1038","21.1","55","950.8"
06/01/2025 12:22:57 AM,"1038","21.1","55","950.8"
06/01/2025 12:23:57 AM,"1038","21.1","55","950.8"
