Time(DD/MM/YYYY h:mm:ss A),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
10/01/2025 12:40:48 AM,"700","20.8","90","950.4"
10/01/2025 12:41:48 AM,"706","20.8","90","950.6"
10/01/2025 12:42:48 AM,"706","20.8","90","950.6"
10/01/2025 12:43:48 AM,"706","20.8","90","950.6"
10/01/2025 12:44:48 AM,"706","20.8","90","950.6"
10/01/2025 12:45:48 AM,"706","20.8","90","950.6"
10/01/2025 12:46:48 AM,"711","20.8","90","950.6"
10/01/2025 12:47:48 AM,"711","20.8","90","950.6"
10/01/2025 12:48:48 AM,"711","20.8","90","950.6"
10/01/2025 12:49:48 AM,"711","20.8","90","950.6"
10/01/2025 12:50:48 AM,"711","20.8","90","950.6"
10/01/2025 12:51:48 AM,"728","20.7","90","950.6"
10/01/2025 12:52:48 AM,"728","20.7","90","950.6"
10/01/2025 12:53:48 AM,"728","20.7","90","950.6"
10/01/2025 12:54:48 AM,"728","20.7","90","950.6"
10/01/2025 12:55:48 AM,"728","20.7","90","950.6"
10/01/2025 12:56:48 AM,"717","20.7","90","950.5"
10/01/2025 12:57:48 AM,"717","20.7","90","950.5"
10/01/2025 12:58:48 AM,"717","20.7","90","950.5"
10/01/2025 12:59:48 AM,"717","20.7","90","950.5"
10/01/2025 1:00:48 AM,"717","20.7","90","950.5"
10/01/2025 1:01:48 AM,"727","20.7","90","950.6"
10/01/2025 1:02:48 AM,"727","20.7","90","950.6"
10/01/2025 1:03:48 AM,"727","20.7","90","950.6"
10/01/2025 1:04:48 AM,"727","20.7","90","950.6"
10/01/2025 1:05:48 AM,"727","20.7","90","950.6"
10/01/2025 1:06:48 AM,"742","20.7","90","950.5"
10/01/2025 1:07:48 AM,"742","20.7","90","950.5"
10/01/2025 1:08:48 AM,"742","20.7","90","950.5"
10/01/2025 1:09:48 AM,"742","20.7","90","950.5"
10/01/2025 1:10:48 AM,"742","20.7","90","950.5"
10/01/2025 1:11:48 AM,"739","20.6","90","950.4"
10/01/2025 1:12:48 AM,"739","20.6","90","950.4"
10/01/2025 1:13:48 AM,"739","20.6","90","950.4"
10/01/2025 1:14:48 AM,"739","20.6","90","950.4"
10/01/2025 1:15:48 AM,"739","20.6","90","950.4"
10/01/2025 1:16:48 AM,"762","20.6","90","950.3"
10/01/2025 1:17:48 AM,"762","20.6","90","950.3"
10/01/2025 1:18:48 AM,"762","20.6","90","950.3"
10/01/2025 1:19:48 AM,"762","20.6","90","950.3"
10/01/2025 1:20:48 AM,"762","20.6","90","950.3"
10/01/2025 1:21:48 AM,"741","20.6","90","950.4"
10/01/2025 1:22:48 AM,"741","20.6","90","950.4"
10/01/2025 1:23:48 AM,"741","20.6","90","950.4"
10/01/2025 1:24:48 AM,"741","20.6","90","950.4"
10/01/2025 1:25:48 AM,"741","20.6","90","950.4"
10/01/2025 1:26:48 AM,"774","20.5","90","950.3"
10/01/2025 1:27:48 AM,"774","20.5","90","950.3"
10/01/2025 1:28:48 AM,"774","20.5","90","950.3"
10/01/2025 1:29:48 AM,"774","20.5","90","950.3"
10/01/2025 1:30:48 AM,"774","20.5","90","950.3"
10/01/2025 1:31:48 AM,"789","20.5","90","950.4"
10/01/2025 1:32:48 AM,"789","20.5","90","950.4"
10/01/2025 1:33:48 AM,"789","20.5","90","950.4"
10/01/2025 1:34:48 AM,"789","20.5","90","950.4"
10/01/2025 1:35:48 AM,"789","20.5","90","950.4"
10/01/2025 1:36:48 AM,"778","20.5","90","950.2"
10/01/2025 1:37:48 AM,"778","20.5","90","950.2"
10/01/2025 1:38:48 AM,"778","20.5","90","950.2"
10/01/2025 1:39:48 AM,"778","20.5","90","950.2"
10/01/2025 1:40:48 AM,"778","20.5","90","950.2"
10/01/2025 1:41:48 AM,"796","20.4","90","950.2"
10/01/2025 1:42:48 AM,"796","20.4","90","950.2"
10/01/2025 1:43:48 AM,"796","20.4","90","950.2"
10/01/2025 1:44:48 AM,"796","20.4","90","950.2"
10/01/2025 1:45:48 AM,"796","20.4","90","950.2"
10/01/2025 1:46:48 AM,"806","20.4","90","950.2"
10/01/2025 1:47:48 AM,"806","20.4","90","950.2"
10/01/2025 1:48:48 AM,"806","20.4","90","950.2"
10/01/2025 1:49:48 AM,"806","20.4","90","950.2"
10/01/2025 1:50:48 AM,"806","20.4","90","950.2"
10/01/2025 1:51:48 AM,"827","20.4","90","950.2"
10/01/2025 1:52:48 AM,"827","20.4","90","950.2"
10/01/2025 1:53:48 AM,"827","20.4","90","950.2"
10/01/2025 1:54:48 AM,"827","20.4","90","950.2"
10/01/2025 1:55:48 AM,"827","20.4","90","950.2"
10/01/2025 1:56:48 AM,"815","20.4","90","950.2"
10/01/2025 1:57:48 AM,"815","20.4","90","950.2"
10/01/2025 1:58:48 AM,"815","20.4","90","950.2"
10/01/2025 1:59:48 AM,"815","20.4","90","950.2"
10/01/2025 2:00:48 AM,"815","20.4","90","950.2"
10/01/2025 2:01:48 AM,"821","20.4","90","950.3"
10/01/2025 2:02:48 AM,"821","20.4","90","950.3"
10/01/2025 2:03:48 AM,"821","20.4","90","950.3"
10/01/2025 2:04:48 AM,"821","20.4","90","950.3"
10/01/2025 2:05:48 AM,"821","20.4","90","950.3"
10/01/2025 2:06:48 AM,"826","20.4","90","950.0"
10/01/2025 2:07:48 AM,"826","20.4","90","950.0"
10/01/2025 2:08:48 AM,"826","20.4","90","950.0"
10/01/2025 2:09:48 AM,"826","20.4","90","950.0"
10/01/2025 2:10:48 AM,"826","20.4","90","950.0"
10/01/2025 2:11:48 AM,"842","20.4","90","949.9"
10/01/2025 2:12:48 AM,"842","20.4","90","949.9"
10/01/2025 2:13:48 AM,"842","20.4","90","949.9"
10/01/2025 2:14:48 AM,"842","20.4","90","949.9"
10/01/2025 2:15:48 AM,"842","20.4","90","949.9"
10/01/2025 2:16:48 AM,"855","20.3","90","949.9"
10/01/2025 2:17:48 AM,"855","20.3","90","949.9"
10/01/2025 2:18:48 AM,"855","20.3","90","949.9"
10/01/2025 2:19:48 AM,"855","20.3","90","949.9"
10/01/2025 2:20:48 AM,"855","20.3","90","949.9"
10/01/2025 2:21:48 AM,"856","20.3","90","949.9"
10/01/2025 2:22:48 AM,"856","20.3","90","949.9"
10/01/2025 2:23:48 AM,"856","20.3","90","949.9"
10/01/2025 2:24:48 AM,"856","20.3","90","949.9"
10/01/2025 2:25:48 AM,"856","20.3","90","949.9"
10/01/2025 2:26:48 AM,"871","20.3","90","949.9"
10/01/2025 2:27:48 AM,"871","20.3","90","949.9"
10/01/2025 2:28:48 AM,"871","20.3","90","949.9"
10/01/2025 2:29:48 AM,"871","20.3","90","949.9"
10/01/2025 2:30:48 AM,"871","20.3","90","949.9"
10/01/2025 2:31:48 AM,"866","20.3","90","950.0"
10/01/2025 2:32:48 AM,"866","20.3","90","950.0"
10/01/2025 2:33:48 AM,"866","20.3","90","950.0"
10/01/2025 2:34:48 AM,"866","20.3","90","950.0"
10/01/2025 2:35:48 AM,"866","20.3","90","950.0"
10/01/2025 2:36:48 AM,"850","20.3","90","949.9"
10/01/2025 2:37:48 AM,"850","20.3","90","949.9"
10/01/2025 2:38:48 AM,"850","20.3","90","949.9"
10/01/2025 2:39:48 AM,"850","20.3","90","949.9"
10/01/2025 2:40:48 AM,"850","20.3","90","949.9"
10/01/2025 2:41:48 AM,"852","20.3","90","949.9"
10/01/2025 2:42:48 AM,"852","20.3","90","949.9"
10/01/2025 2:43:48 AM,"852","20.3","90","949.9"
10/01/2025 2:44:48 AM,"852","20.3","90","949.9"
