Time(DD/MM/YYYY h:mm:ss A),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
01/01/2025 11:33:44 PM,"492","23.6","51","1021.1"
01/01/2025 11:34:44 PM,"492","23.6","51","1021.1"
01/01/2025 11:35:44 PM,"492","23.6","51","1021.1"
01/01/2025 11:36:44 PM,"492","23.6","51","1021.1"
01/01/2025 11:37:44 PM,"502","23.6","51","1021.0"
01/01/2025 11:38:44 PM,"502","23.6","51","1021.0"
01/01/2025 11:39:44 PM,"502","23.6","51","1021.0"
01/01/2025 11:40:44 PM,"502","23.6","51","1021.0"
01/01/2025 11:41:44 PM,"502","23.6","51","1021.0"
01/01/2025 11:42:44 PM,"516","23.6","51","1020.9"
01/01/2025 11:43:44 PM,"516","23.6","51","1020.9"
01/01/2025 11:44:44 PM,"516","23.6","51","1020.9"
01/01/2025 11:45:44 PM,"516","23.6","51","1020.9"
01/01/2025 11:46:44 PM,"516","23.6","51","1020.9"
01/01/2025 11:47:44 PM,"507","23.6","51","1021.0"
01/01/2025 11:48:44 PM,"507","23.6","51","1021.0"
01/01/2025 11:49:44 PM,"507","23.6","51","1021.0"
01/01/2025 11:50:44 PM,"507","23.6","51","1021.0"
01/01/2025 11:51:44 PM,"507","23.6","51","1021.0"
01/01/2025 11:52:44 PM,"510","23.6","51","1021.0"
01/01/2025 11:53:44 PM,"510","23.6","51","1021.0"
01/01/2025 11:54:44 PM,"510","23.6","51","1021.0"
01/01/2025 11:55:44 PM,"510","23.6","51","1021.0"
01/01/2025 11:56:44 PM,"510","23.6","51","1021.0"
01/01/2025 11:57:44 PM,"519","23.6","51","1021.0"
01/01/2025 11:58:44 PM,"519","23.6","51","1021.0"
01/01/2025 11:59:44 PM,"519","23.6","51","1021.0"
02/01/2025 12:00:44 AM,"519","23.6","51","1021.0"
02/01/2025 12:01:44 AM,"519","23.6","51","1021.0"
02/01/2025 12:02:44 AM,"512","23.6","51","1021.0"
02/01/2025 12:03:44 AM,"512","23.6","51","1021.0"
02/01/2025 12:04:44 AM,"512","23.6","51","1021.0"
02/01/2025 12:05:44 AM,"512","23.6","51","1021.0"
02/01/2025 12:06:44 AM,"512","23.6","51","1021.0"
02/01/2025 12:07:44 AM,"507","23.6","51","1021.0"
02/01/2025 12:08:44 AM,"507","23.6","51","1021.0"
02/01/2025 12:09:44 AM,"507","23.6","51","1021.0"
02/01/2025 12:10:44 AM,"507","23.6","51","1021.0"
02/01/2025 12:11:44 AM,"507","23.6","51","1021.0"
02/01/2025 12:12:44 AM,"516","23.6","51","1021.0"
02/01/2025 12:13:44 AM,"516","23.6","51","1021.0"
02/01/2025 12:14:44 AM,"516","23.6","51","1021.0"
02/01/2025 12:15:44 AM,"516","23.6","51","1021.0"
02/01/2025 12:16:44 AM,"516","23.6","51","1021.0"
02/01/2025 12:17:44 AM,"511","23.6","51","1021.0"
02/01/2025 12:18:44 AM,"511","23.6","51","1021.0"
02/01/2025 12:19:44 AM,"511","23.6","51","1021.0"
02/01/2025 12:20:44 AM,"511","23.6","51","1021.0"
02/01/2025 12:21:44 AM,"511","23.6","51","1021.0"
02/01/2025 12:22:44 AM,"507","23.6","51","1021.1"
02/01/2025 12:23:44 AM,"507","23.6","51","1021.1"
02/01/2025 12:24:44 AM,"507","23.6","51","1021.1"
02/01/2025 12:25:44 AM,"507","23.6","51","1021.1"
02/01/2025 12:26:44 AM,"507","23.6","51","1021.1"
02/01/2025 12:27:44 AM,"513","23.6","51","1021.2"
02/01/2025 12:28:44 AM,"513","23.6","51","1021.2"
02/01/2025 12:29:44 AM,"513","23.6","51","1021.2"
02/01/2025 12:30:44 AM,"513","23.6","51","1021.2"
02/01/2025 12:31:44 AM,"513","23.6","51","1021.2"
02/01/2025 12:32:44 AM,"504","23.6","51","1021.0"
02/01/2025 12:33:44 AM,"504","23.6","51","1021.0"
02/01/2025 12:34:44 AM,"504","23.6","51","1021.0"
02/01/2025 12:35:44 AM,"504","23.6","51","1021.0"
02/01/2025 12:36:44 AM,"504","23.6","51","1021.0"
02/01/2025 12:37:44 AM,"501","23.6","51","1021.1"
02/01/2025 12:38:44 AM,"501","23.6","51","1021.1"
02/01/2025 12:39:44 AM,"501","23.6","51","1021.1"
02/01/2025 12:40:44 AM,"501","23.6","51","1021.1"
02/01/2025 12:41:44 AM,"501","23.6","51","1021.1"
02/01/2025 12:42:44 AM,"484","23.6","51","1021.2"
02/01/2025 12:43:44 AM,"484","23.6","51","1021.2"
02/01/2025 12:44:44 AM,"484","23.6","51","1021.2"
02/01/2025 12:45:44 AM,"484","23.6","51","1021.2"
02/01/2025 12:46:44 AM,"484","23.6","51","1021.2"
02/01/2025 12:47:44 AM,"506","23.6","51","1021.2"
02/01/2025 12:48:44 AM,"506","23.6","51","1021.2"
02/01/2025 12:49:44 AM,"506","23.6","51","1021.2"
02/01/2025 12:50:44 AM,"506","23.6","51","1021.2"
02/01/2025 12:51:44 AM,"506","23.6","51","1021.2"
02/01/2025 12:52:44 AM,"493","23.6","51","1021.3"
02/01/2025 12:53:44 AM,"493","23.6","51","1021.3"
02/01/2025 12:54:44 AM,"493","23.6","51","1021.3"
02/01/2025 12:55:44 AM,"493","23.6","51","1021.3"
02/01/2025 12:56:44 AM,"493","23.6","51","1021.3"
02/01/2025 12:57:44 AM,"495","23.6","51","1021.4"
02/01/2025 12:58:44 AM,"495","23.6","51","1021.4"
02/01/2025 12:59:44 AM,"495","23.6","51","1021.4"
02/01/2025 1:00:44 AM,"495","23.6","51","1021.4"
02/01/2025 1:01:44 AM,"495","23.6","51","1021.4"
02/01/2025 1:02:44 AM,"512","23.6","51","1021.2"
02/01/2025 1:03:44 AM,"512","23.6","51","1021.2"
02/01/2025 1:04:44 AM,"512","23.6","51","1021.2"
02/01/2025 1:05:44 AM,"512","23.6","51","1021.2"
02/01/2025 1:06:44 AM,"512","23.6","51","1021.2"
02/01/2025 1:07:44 AM,"527","23.6","51","1021.2"
02/01/2025 1:08:44 AM,"527","23.6","51","1021.2"
02/01/2025 1:09:44 AM,"527","23.6","51","1021.2"
02/01/2025 1:10:44 AM,"527","23.6","51","1021.2"
02/01/2025 1:11:44 AM,"527","23.6","51","1021.2"
02/01/2025 1:12:44 AM,"505","23.6","51","1021.2"
02/01/2025 1:13:44 AM,"505","23.6","51","1021.2"
02/01/2025 1:14:44 AM,"505","23.6","51","1021.2"
02/01/2025 1:15:44 AM,"505","23.6","51","1021.2"
02/01/2025 1:16:44 AM,"505","23.6","51","1021.2"
02/01/2025 1:17:44 AM,"523","23.6","51","1021.2"
02/01/2025 1:18:44 AM,"523","23.6","51","1021.2"
02/01/2025 1:19:44 AM,"523","23.6","51","1021.2"
02/01/2025 1:20:44 AM,"523","23.6","51","1021.2"
02/01/2025 1:21:44 AM,"523","23.6","51","1021.2"
02/01/2025 1:22:44 AM,"506","23.6","51","1021.1"
02/01/2025 1:23:44 AM,"506","23.6","51","1021.1"
02/01/2025 1:24:44 AM,"506","23.6","51","1021.1"
02/01/2025 1:25:44 AM,"506","23.6","51","1021.1"
02/01/2025 1:26:44 AM,"506","23.6","51","1021.1"
02/01/2025 1:27:44 AM,"495","23.6","51","1021.2"
02/01/2025 1:28:44 AM,"495","23.6","51","1021.2"
02/01/2025 1:29:44 AM,"495","23.6","51","1021.2"
02/01/2025 1:30:44 AM,"495","23.6","51","1021.2"
02/01/2025 1:31:44 AM,"495","23.6","51","1021.2"
02/01/2025 1:32:44 AM,"495","23.6","51","1021.2"
02/01/2025 1:33:44 AM,"495","23.6","51","1021.2"
02/01/2025 1:34:44 AM,"495","23.6","51","1021.2"
02/01/2025 1:35:44 AM,"495","23.6","51","1021.2"
02/01/2025 1:36:44 AM,"495","23.6","51","1021.2"
02/01/2025 1:37:44 AM,"513","23.6","51","1021.1"
02/01/2025 1:38:44 AM,"513","23.6","51","1021.1"
02/01/2025 1:39:44 AM,"513","23.6","51","1021.1"
02/01/2025 1:40:44 AM,"513","23.6","51","1021.1"
02/01/2025 1:41:44 AM,"513","23.6","51","1021.1"
02/01/2025 1:42:44 AM,"504","23.6","51","1021.0"
02/01/2025 1:43:44 AM,"504","23.6","51","1021.0"
02/01/2025 1:44:44 AM,"504","23.6","51","1021.0"
02/01/2025 1:45:44 AM,"504","23.6","51","1021.0"
02/01/2025 1:46:44 AM,"504","23.6","51","1021.0"
02/01/2025 1:47:44 AM,"521","23.6","51","1021.0"
02/01/2025 1:48:44 AM,"521","23.6","51","1021.0"
02/01/2025 1:49:44 AM,"521","23.6","51","1021.0"
02/01/2025 1:50:44 AM,"521","23.6","51","1021.0"
02/01/2025 1:51:44 AM,"521","23.6","51","1021.0"
02/01/2025 1:52:44 AM,"494","23.6","51","1021.0"
02/01/2025 1:53:44 AM,"494","23.6","51","1021.0"
02/01/2025 1:54:44 AM,"494","23.6","51","1021.0"
02/01/2025 1:55:44 AM,"494","23.6","51","1021.0"
02/01/2025 1:56:44 AM,"494","23.6","51","1021.0"
02/01/2025 1:57:44 AM,"484","23.6","51","1021.0"
02/01/2025 1:58:44 AM,"484","23.6","51","1021.0"
02/01/2025 1:59:44 AM,"484","23.6","51","1021.0"
02/01/2025 2:00:44 AM,"484","23.6","51","1021.0"
02/01/2025 2:01:44 AM,"484","23.6","51","1021.0"
