Time(DD/MM/YYYY h:mm:ss A),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
01/01/2025 10:37:11 PM,"472","23.4","53",""
01/01/2025 10:38:11 PM,"455","23.4","53","1021.5"
01/01/2025 10:39:11 PM,"455","23.4","53","1021.5"
01/01/2025 10:40:11 PM,"455","23.4","53","1021.5"
01/01/2025 10:41:11 PM,"455","23.4","53","1021.5"
01/01/2025 10:42:11 PM,"455","23.4","53","1021.5"
01/01/2025 10:43:11 PM,"459","23.4","53","1021.4"
01/01/2025 10:44:11 PM,"459","23.4","53","1021.4"
01/01/2025 10:45:11 PM,"459","23.4","53","1021.4"
01/01/2025 10:46:11 PM,"459","23.4","53","1021.4"
01/01/2025 10:47:11 PM,"459","23.4","53","1021.4"
01/01/2025 10:48:11 PM,"470","23.4","53","1021.4"
01/01/2025 10:49:11 PM,"470","23.4","53","1021.4"
01/01/2025 10:50:11 PM,"470","23.4","53","1021.4"
01/01/2025 10:51:11 PM,"470","23.4","53","1021.4"
01/01/2025 10:52:11 PM,"470","23.4","53","1021.4"
01/01/2025 10:53:11 PM,"467","23.4","53","1021.5"
01/01/2025 10:54:11 PM,"467","23.4","53","1021.5"
01/01/2025 10:55:11 PM,"467","23.4","53","1021.5"
01/01/2025 10:56:11 PM,"467","23.4","53","1021.5"
01/01/2025 10:57:11 PM,"467","23.4","53","1021.5"
01/01/2025 10:58:11 PM,"470","23.4","53","1021.6"
01/01/2025 10:59:11 PM,"470","23.4","53","1021.6"
01/01/2025 11:00:11 PM,"470","23.4","53","1021.6"
01/01/2025 11:01:11 PM,"470","23.4","53","1021.6"
01/01/2025 11:02:11 PM,"470","23.4","53","1021.6"
01/01/2025 11:03:11 PM,"463","23.4","53","1021.5"
01/01/2025 11:04:11 PM,"463","23.4","53","1021.5"
01/01/2025 11:05:11 PM,"463","23.4","53","1021.5"
01/01/2025 11:06:11 PM,"463","23.4","53","1021.5"
01/01/2025 11:07:11 PM,"463","23.4","53","1021.5"
01/01/2025 11:08:11 PM,"467","23.4","53","1021.4"
01/01/2025 11:09:11 PM,"467","23.4","53","1021.4"
01/01/2025 11:10:11 PM,"467","23.4","53","1021.4"
01/01/2025 11:11:11 PM,"467","23.4","53","1021.4"
01/01/2025 11:12:11 PM,"467","23.4","53","1021.4"
01/01/2025 11:13:11 PM,"462","23.5","53","1021.3"
01/01/2025 11:14:11 PM,"462","23.5","53","1021.3"
01/01/2025 11:15:11 PM,"462","23.5","53","1021.3"
01/01/2025 11:16:11 PM,"462","23.5","53","1021.3"
01/01/2025 11:17:11 PM,"462","23.5","53","1021.3"
01/01/2025 11:18:11 PM,"482","23.5","53","1021.3"
01/01/2025 11:19:11 PM,"482","23.5","53","1021.3"
01/01/2025 11:20:11 PM,"482","23.5","53","1021.3"
01/01/2025 11:21:11 PM,"482","23.5","53","1021.3"
01/01/2025 11:22:11 PM,"482","23.5","53","1021.3"
01/01/2025 11:23:11 PM,"462","23.5","53","1021.4"
01/01/2025 11:24:11 PM,"462","23.5","53","1021.4"
01/01/2025 11:25:11 PM,"462","23.5","53","1021.4"
01/01/2025 11:26:11 PM,"462","23.5","53","1021.4"
01/01/2025 11:27:11 PM,"462","23.5","53","1021.4"
01/01/2025 11:28:11 PM,"458","23.5","53","1021.4"
01/01/2025 11:29:11 PM,"458","23.5","53","1021.4"
01/01/2025 11:30:11 PM,"458","23.5","53","1021.4"
01/01/2025 11:31:11 PM,"458","23.5","53","1021.4"
01/01/2025 11:32:11 PM,"458","23.5","53","1021.4"
01/01/2025 11:33:11 PM,"474","23.5","53","1021.5"
01/01/2025 11:34:11 PM,"474","23.5","53","1021.5"
01/01/2025 11:35:11 PM,"474","23.5","53","1021.5"
01/01/2025 11:36:11 PM,"474","23.5","53","1021.5"
01/01/2025 11:37:11 PM,"474","23.5","53","1021.5"
01/01/2025 11:38:11 PM,"481","23.5","53","1021.5"
01/01/2025 11:39:11 PM,"481","23.5","53","1021.5"
01/01/2025 11:40:11 PM,"481","23.5","53","1021.5"
01/01/2025 11:41:11 PM,"481","23.5","53","1021.5"
01/01/2025 11:42:11 PM,"481","23.5","53","1021.5"
