Time(DD/MM/YYYY h:mm:ss A),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
01/01/2025 6:37:26 PM,"534","24.4","44","1020.6"
01/01/2025 6:38:26 PM,"534","24.4","44","1020.6"
01/01/2025 6:39:26 PM,"534","24.4","44","1020.6"
01/01/2025 6:40:26 PM,"534","24.4","44","1020.6"
01/01/2025 6:41:26 PM,"534","24.4","44","1020.6"
01/01/2025 6:42:26 PM,"538","24.4","44","1020.7"
01/01/2025 6:43:26 PM,"538","24.4","44","1020.7"
01/01/2025 6:44:26 PM,"538","24.4","44","1020.7"
01/01/2025 6:45:26 PM,"538","24.4","44","1020.7"
01/01/2025 6:46:26 PM,"538","24.4","44","1020.7"
01/01/2025 6:47:26 PM,"533","24.4","44","1020.6"
01/01/2025 6:48:26 PM,"533","24.4","44","1020.6"
01/01/2025 6:49:26 PM,"533","24.4","44","1020.6"
01/01/2025 6:50:26 PM,"533","24.4","44","1020.6"
01/01/2025 6:51:26 PM,"533","24.4","44","1020.6"
01/01/2025 6:52:26 PM,"531","24.4","44","1020.7"
01/01/2025 6:53:26 PM,"531","24.4","44","1020.7"
01/01/2025 6:54:26 PM,"531","24.4","44","1020.7"
01/01/2025 6:55:26 PM,"531","24.4","44","1020.7"
01/01/2025 6:56:26 PM,"531","24.4","44","1020.7"
01/01/2025 6:57:26 PM,"529","24.3","44","1020.7"
01/01/2025 6:58:26 PM,"529","24.3","44","1020.7"
01/01/2025 6:59:26 PM,"529","24.3","44","1020.7"
01/01/2025 7:00:26 PM,"529","24.3","44","1020.7"
01/01/2025 7:01:26 PM,"529","24.3","44","1020.7"
01/01/2025 7:02:26 PM,"538","24.3","44","1020.8"
01/01/2025 7:03:26 PM,"538","24.3","44","1020.8"
01/01/2025 7:04:26 PM,"538","24.3","44","1020.8"
01/01/2025 7:05:26 PM,"538","24.3","44","1020.8"
01/01/2025 7:06:26 PM,"538","24.3","44","1020.8"
01/01/2025 7:07:26 PM,"526","24.2","44","1020.7"
01/01/2025 7:08:26 PM,"526","24.2","44","1020.7"
01/01/2025 7:09:26 PM,"526","24.2","44","1020.7"
