Time(DD/MM/YYYY h:mm:ss A),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
12/01/2025 11:18:58 PM,"524","20.7","",""
12/01/2025 11:19:58 PM,"510","20.7","99","947.0"
12/01/2025 11:20:58 PM,"492","20.7","99","947.0"
12/01/2025 11:21:58 PM,"473","20.7","99","946.9"
12/01/2025 11:22:58 PM,"501","20.7","99","946.9"
12/01/2025 11:23:58 PM,"497","20.8","99","947.0"
12/01/2025 11:24:58 PM,"489","20.8","99","947.0"
12/01/2025 11:25:58 PM,"470","20.7","99","947.0"
12/01/2025 11:26:58 PM,"501","20.8","99","946.9"
12/01/2025 11:27:58 PM,"509","20.7","99","946.9"
12/01/2025 11:28:58 PM,"462","20.8","99","946.9"
12/01/2025 11:29:58 PM,"476","20.8","99","946.9"
12/01/2025 11:30:58 PM,"475","20.8","99","946.9"
12/01/2025 11:31:58 PM,"497","20.8","99","946.8"
12/01/2025 11:32:58 PM,"484","20.8","99","946.8"
12/01/2025 11:33:58 PM,"505","20.8","99","946.8"
12/01/2025 11:34:58 PM,"491","20.8","99","946.8"
12/01/2025 11:35:58 PM,"478","20.8","99","946.8"
12/01/2025 11:36:58 PM,"493","20.8","99","946.8"
12/01/2025 11:37:58 PM,"493","20.8","99","946.8"
12/01/2025 11:38:58 PM,"488","20.8","99","946.7"
12/01/2025 11:39:58 PM,"489","20.8","99","946.6"
12/01/2025 11:40:58 PM,"494","20.8","99","946.8"
12/01/2025 11:41:58 PM,"494","20.8","99","946.8"
12/01/2025 11:42:58 PM,"473","20.8","99","946.8"
12/01/2025 11:43:58 PM,"493","20.8","99","946.7"
12/01/2025 11:44:58 PM,"491","20.8","99","946.8"
12/01/2025 11:45:58 PM,"488","20.8","99","946.7"
12/01/2025 11:46:58 PM,"503","20.8","99","946.8"
12/01/2025 11:47:58 PM,"482","20.8","99","946.7"
12/01/2025 11:48:58 PM,"488","20.8","99","946.8"
12/01/2025 11:49:58 PM,"480","20.8","99","946.8"
12/01/2025 11:50:58 PM,"504","20.8","99","946.7"
12/01/2025 11:51:58 PM,"488","20.8","99","946.7"
12/01/2025 11:52:58 PM,"494","20.8","99","946.7"
12/01/2025 11:53:58 PM,"492","20.8","99","946.8"
12/01/2025 11:54:58 PM,"489","20.8","99","946.7"
12/01/2025 11:55:58 PM,"487","20.8","99","946.7"
12/01/2025 11:56:58 PM,"501","20.9","99","946.7"
12/01/2025 11:57:58 PM,"485","20.8","99","946.8"
12/01/2025 11:58:58 PM,"511","20.8","99","946.6"
12/01/2025 11:59:58 PM,"493","20.8","99","946.7"
13/01/2025 12:00:58 AM,"490","20.8","99","946.8"
13/01/2025 12:01:58 AM,"503","20.9","99","946.7"
13/01/2025 12:02:58 AM,"497","20.9","99","946.6"
13/01/2025 12:03:58 AM,"481","20.9","99","946.7"
13/01/2025 12:04:58 AM,"487","20.9","99","946.7"
13/01/2025 12:05:58 AM,"500","20.9","99","946.6"
13/01/2025 12:06:58 AM,"481","20.9","99","946.7"
13/01/2025 12:07:58 AM,"484","20.9","99","946.7"
13/01/2025 12:08:58 AM,"501","20.9","99","946.6"
13/01/2025 12:09:58 AM,"486","20.9","99","946.6"
13/01/2025 12:10:58 AM,"488","20.9","99","946.6"
13/01/2025 12:11:58 AM,"492","20.9","99","946.6"
13/01/2025 12:12:58 AM,"481","20.9","99","946.6"
13/01/2025 12:13:58 AM,"486","20.9","99","946.6"
13/01/2025 12:14:58 AM,"493","20.9","99","946.6"
13/01/2025 12:15:58 AM,"499","20.9","99","946.5"
13/01/2025 12:16:58 AM,"504","20.9","99","946.6"
13/01/2025 12:17:58 AM,"484","20.9","99","946.6"
13/01/2025 12:18:58 AM,"509","20.9","99","946.5"
13/01/2025 12:19:58 AM,"484","20.9","99","946.6"
13/01/2025 12:20:58 AM,"482","20.9","99","946.6"
13/01/2025 12:21:58 AM,"493","20.9","99","946.5"
13/01/2025 12:22:58 AM,"482","20.9","99","946.4"
13/01/2025 12:23:58 AM,"498","20.9","99","946.4"
13/01/2025 12:24:58 AM,"491","20.9","99","946.5"
13/01/2025 12:25:58 AM,"500","20.9","99","946.4"
13/01/2025 12:26:58 AM,"505","20.9","99","946.4"
13/01/2025 12:27:58 AM,"491","20.9","99","946.5"
13/01/2025 12:28:58 AM,"498","20.9","99","946.5"
13/01/2025 12:29:58 AM,"500","20.9","99","946.4"
13/01/2025 12:30:58 AM,"497","20.9","99","946.4"
13/01/2025 12:31:58 AM,"492","20.9","99","946.5"
13/01/2025 12:32:58 AM,"488","20.9","99","946.4"
13/01/2025 12:33:58 AM,"482","20.9","99","946.4"
13/01/2025 12:34:58 AM,"499","20.9","99","946.3"
13/01/2025 12:35:58 AM,"488","21.0","99","946.4"
13/01/2025 12:36:58 AM,"482","20.9","99","946.3"
13/01/2025 12:37:58 AM,"492","20.9","99","946.4"
13/01/2025 12:38:58 AM,"491","20.9","99","946.3"
13/01/2025 12:39:58 AM,"484","20.9","99","946.3"
13/01/2025 12:40:58 AM,"497","20.9","99","946.3"
13/01/2025 12:41:58 AM,"517","20.9","99","946.3"
13/01/2025 12:42:58 AM,"486","20.9","99","946.3"
13/01/2025 12:43:58 AM,"513","20.9","99","946.3"
13/01/2025 12:44:58 AM,"486","20.9","99","946.2"
13/01/2025 12:45:58 AM,"495","20.9","99","946.2"
13/01/2025 12:46:58 AM,"523","20.9","99","946.2"
13/01/2025 12:47:58 AM,"506","20.9","99","946.2"
13/01/2025 12:48:58 AM,"518","20.9","99","946.2"
13/01/2025 12:49:58 AM,"535","20.9","99","946.2"
13/01/2025 12:50:58 AM,"509","20.9","99","946.3"
13/01/2025 12:51:58 AM,"509","20.9","99","946.2"
13/01/2025 12:52:58 AM,"527","20.9","99","946.3"
13/01/2025 12:53:58 AM,"537","20.9","99","946.2"
13/01/2025 12:54:58 AM,"510","20.9","99","946.2"
13/01/2025 12:55:58 AM,"509","20.9","99","946.2"
13/01/2025 12:56:58 AM,"526","20.9","99","946.2"
13/01/2025 12:57:58 AM,"493","20.9","99","946.2"
13/01/2025 12:58:58 AM,"518","20.9","99","946.2"
13/01/2025 12:59:58 AM,"506","20.9","99","946.1"
13/01/2025 1:00:58 AM,"491","20.9","99","946.2"
13/01/2025 1:01:58 AM,"505","20.9","99","946.1"
13/01/2025 1:02:58 AM,"514","20.9","99","946.2"
13/01/2025 1:03:58 AM,"512","20.9","99","946.1"
13/01/2025 1:04:58 AM,"518","20.9","99","946.1"
13/01/2025 1:05:58 AM,"529","20.9","99","946.1"
13/01/2025 1:06:58 AM,"527","20.9","99","946.2"
13/01/2025 1:07:58 AM,"527","20.9","99","946.1"
