Time(DD/MM/YYYY h:mm:ss A),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
12/01/2025 10:59:51 PM,"516","21.3","",""
12/01/2025 11:00:51 PM,"517","21.3","",""
12/01/2025 11:01:51 PM,"523","21.3","99",""
12/01/2025 11:02:51 PM,"529","21.3","99",""
12/01/2025 11:03:51 PM,"508","21.3","98",""
12/01/2025 11:04:51 PM,"522","21.3","98",""
12/01/2025 11:05:51 PM,"518","21.3","98",""
12/01/2025 11:06:51 PM,"513","21.3","98",""
12/01/2025 11:07:51 PM,"511","21.3","99",""
12/01/2025 11:08:51 PM,"527","21.3","99",""
12/01/2025 11:09:51 PM,"512","21.3","99",""
12/01/2025 11:10:51 PM,"510","21.3","98",""
12/01/2025 11:11:51 PM,"502","21.3","98",""
12/01/2025 11:12:51 PM,"509","21.3","98",""
12/01/2025 11:13:51 PM,"502","21.3","98",""
12/01/2025 11:14:51 PM,"512","21.4","98",""
12/01/2025 11:15:51 PM,"509","21.4","98",""
12/01/2025 11:16:51 PM,"507","21.4","97",""
12/01/2025 11:17:51 PM,"516","21.4","98",""
12/01/2025 11:18:51 PM,"543","21.4","98",""
12/01/2025 11:19:51 PM,"518","21.4","98",""
12/01/2025 11:20:51 PM,"498","21.4","98",""
12/01/2025 11:21:51 PM,"496","21.4","98",""
12/01/2025 11:22:51 PM,"533","21.4","98",""
12/01/2025 11:23:51 PM,"519","21.4","98",""
12/01/2025 11:24:51 PM,"537","21.4","98",""
12/01/2025 11:25:51 PM,"501","21.4","98",""
12/01/2025 11:26:51 PM,"507","21.4","98",""
12/01/2025 11:27:51 PM,"506","21.5","97",""
12/01/2025 11:28:51 PM,"520","21.5","98",""
12/01/2025 11:29:51 PM,"509","21.5","98",""
12/01/2025 11:30:51 PM,"504","21.5","98",""
12/01/2025 11:31:51 PM,"519","21.5","98",""
12/01/2025 11:32:51 PM,"501","21.5","98",""
12/01/2025 11:33:51 PM,"500","21.5","98",""
12/01/2025 11:34:51 PM,"494","21.5","98",""
12/01/2025 11:35:51 PM,"524","21.5","98",""
12/01/2025 11:36:51 PM,"513","21.5","98",""
12/01/2025 11:37:51 PM,"500","21.5","98",""
12/01/2025 11:38:51 PM,"499","21.5","98",""
12/01/2025 11:39:51 PM,"516","21.5","98",""
12/01/2025 11:40:51 PM,"506","21.5","98",""
12/01/2025 11:41:51 PM,"514","21.5","98",""
12/01/2025 11:42:51 PM,"523","21.6","98",""
12/01/2025 11:43:51 PM,"519","21.5","98",""
12/01/2025 11:44:51 PM,"491","21.5","98",""
12/01/2025 11:45:51 PM,"515","21.6","98",""
12/01/2025 11:46:51 PM,"517","21.5","98",""
12/01/2025 11:47:51 PM,"528","21.5","98",""
12/01/2025 11:48:51 PM,"511","21.5","98",""
12/01/2025 11:49:51 PM,"513","21.5","98",""
12/01/2025 11:50:51 PM,"516","21.5","97",""
12/01/2025 11:51:51 PM,"503","21.5","97",""
12/01/2025 11:52:51 PM,"530","21.5","98",""
12/01/2025 11:53:51 PM,"504","21.5","98",""
12/01/2025 11:54:51 PM,"506","21.5","98",""
12/01/2025 11:55:51 PM,"517","21.5","98",""
12/01/2025 11:56:51 PM,"519","21.6","98",""
12/01/2025 11:57:51 PM,"505","21.5","98",""
12/01/2025 11:58:51 PM,"527","21.5","98",""
12/01/2025 11:59:51 PM,"523","21.5","98",""
13/01/2025 12:00:51 AM,"537","21.5","98",""
13/01/2025 12:01:51 AM,"494","21.5","98",""
13/01/2025 12:02:51 AM,"525","21.5","98",""
13/01/2025 12:03:51 AM,"515","21.5","99",""
13/01/2025 12:04:51 AM,"509","21.5","98",""
13/01/2025 12:05:51 AM,"509","21.5","98",""
13/01/2025 12:06:51 AM,"498","21.5","99",""
13/01/2025 12:07:51 AM,"509","21.5","99",""
13/01/2025 12:08:51 AM,"522","21.5","99",""
13/01/2025 12:09:51 AM,"515","21.5","99",""
13/01/2025 12:10:51 AM,"503","21.5","99",""
13/01/2025 12:11:51 AM,"523","21.5","99",""
13/01/2025 12:12:51 AM,"520","21.5","99",""
13/01/2025 12:13:51 AM,"518","21.5","99",""
13/01/2025 12:14:51 AM,"507","21.5","99",""
13/01/2025 12:15:51 AM,"520","21.5","99",""
13/01/2025 12:16:51 AM,"506","21.5","99",""
13/01/2025 12:17:51 AM,"515","21.5","99",""
13/01/2025 12:18:51 AM,"512","21.5","99",""
