Time(DD/MM/YYYY h:mm:ss A),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
12/01/2025 11:06:35 PM,"476","","",""
12/01/2025 11:07:35 PM,"461","21.5","94","951.4"
12/01/2025 11:08:35 PM,"467","21.5","94","951.4"
12/01/2025 11:09:35 PM,"474","21.5","94","951.4"
12/01/2025 11:10:35 PM,"491","21.5","94","951.4"
12/01/2025 11:11:35 PM,"484","21.5","94","951.3"
12/01/2025 11:12:35 PM,"492","21.5","94","951.3"
12/01/2025 11:13:35 PM,"503","21.5","94","951.3"
12/01/2025 11:14:35 PM,"487","21.5","94","951.4"
12/01/2025 11:15:35 PM,"481","21.5","94","951.3"
12/01/2025 11:16:35 PM,"456","21.6","94","951.3"
12/01/2025 11:17:35 PM,"480","21.6","94","951.3"
12/01/2025 11:18:35 PM,"484","21.6","94","951.3"
12/01/2025 11:19:35 PM,"478","21.6","94","951.3"
12/01/2025 11:20:35 PM,"471","21.6","94","951.3"
12/01/2025 11:21:35 PM,"491","21.6","94","951.3"
12/01/2025 11:22:35 PM,"477","21.6","94","951.3"
12/01/2025 11:23:35 PM,"472","21.6","94","951.2"
12/01/2025 11:24:35 PM,"488","21.6","94","951.3"
12/01/2025 11:25:35 PM,"488","21.6","94","951.3"
12/01/2025 11:26:35 PM,"477","21.6","94","951.3"
12/01/2025 11:27:35 PM,"483","21.7","94","951.3"
12/01/2025 11:28:35 PM,"486","21.6","94","951.3"
12/01/2025 11:29:35 PM,"476","21.6","94","951.2"
12/01/2025 11:30:35 PM,"477","21.6","94","951.3"
12/01/2025 11:31:35 PM,"483","21.7","94","951.2"
12/01/2025 11:32:35 PM,"473","21.6","94","951.2"
12/01/2025 11:33:35 PM,"477","21.6","94","951.2"
12/01/2025 11:34:35 PM,"482","21.6","94","951.2"
12/01/2025 11:35:35 PM,"483","21.7","94","951.2"
12/01/2025 11:36:35 PM,"475","21.6","94","951.1"
12/01/2025 11:37:35 PM,"480","21.6","94","951.1"
12/01/2025 11:38:35 PM,"484","21.6","94","951.2"
12/01/2025 11:39:35 PM,"474","21.7","94","951.1"
12/01/2025 11:40:35 PM,"483","21.7","94","951.1"
12/01/2025 11:41:35 PM,"475","21.7","94","951.2"
12/01/2025 11:42:35 PM,"468","21.7","94","951.0"
12/01/2025 11:43:35 PM,"481","21.7","94","951.1"
12/01/2025 11:44:35 PM,"471","21.7","94","951.1"
12/01/2025 11:45:35 PM,"495","21.7","94","951.1"
12/01/2025 11:46:35 PM,"487","21.7","94","951.1"
12/01/2025 11:47:35 PM,"491","21.7","94","951.1"
12/01/2025 11:48:35 PM,"476","21.7","94","951.1"
12/01/2025 11:49:35 PM,"472","21.7","94","951.1"
12/01/2025 11:50:35 PM,"484","21.7","94","951.0"
12/01/2025 11:51:35 PM,"472","21.7","94","951.0"
12/01/2025 11:52:35 PM,"481","21.7","94","951.0"
12/01/2025 11:53:35 PM,"473","21.7","94","951.0"
12/01/2025 11:54:35 PM,"481","21.7","94","951.0"
12/01/2025 11:55:35 PM,"474","21.7","94","951.0"
12/01/2025 11:56:35 PM,"481","21.7","94","951.0"
12/01/2025 11:57:35 PM,"484","21.7","94","951.1"
12/01/2025 11:58:35 PM,"462","21.7","94","951.0"
12/01/2025 11:59:35 PM,"481","21.7","94","950.9"
13/01/2025 12:00:35 AM,"479","21.7","94","951.1"
13/01/2025 12:01:35 AM,"489","21.7","94","951.0"
13/01/2025 12:02:35 AM,"476","21.7","94","951.1"
13/01/2025 12:03:35 AM,"496","21.7","94","951.0"
13/01/2025 12:04:35 AM,"486","21.7","94","951.0"
13/01/2025 12:05:35 AM,"473","21.7","94","951.0"
13/01/2025 12:06:35 AM,"480","21.7","95","951.0"
13/01/2025 12:07:35 AM,"480","21.7","95","950.9"
13/01/2025 12:08:35 AM,"484","21.7","95","950.9"
13/01/2025 12:09:35 AM,"473","21.7","95","951.0"
13/01/2025 12:10:35 AM,"477","21.7","95","951.0"
13/01/2025 12:11:35 AM,"488","21.7","95","951.0"
13/01/2025 12:12:35 AM,"474","21.7","95","950.9"
13/01/2025 12:13:35 AM,"501","21.7","95","950.9"
13/01/2025 12:14:35 AM,"475","21.7","95","950.9"
13/01/2025 12:15:35 AM,"478","21.7","95","950.9"
13/01/2025 12:16:35 AM,"491","21.7","95","951.0"
13/01/2025 12:17:35 AM,"489","21.6","95","950.9"
13/01/2025 12:18:35 AM,"483","21.7","95","950.9"
13/01/2025 12:19:35 AM,"479","21.7","95","950.9"
13/01/2025 12:20:35 AM,"480","21.6","95","950.8"
13/01/2025 12:21:35 AM,"483","21.7","95","950.9"
13/01/2025 12:22:35 AM,"477","21.7","95","950.8"
13/01/2025 12:23:35 AM,"484","21.6","95","950.8"
13/01/2025 12:24:35 AM,"486","21.6","95","950.7"
13/01/2025 12:25:35 AM,"478","21.6","95","950.7"
13/01/2025 12:26:35 AM,"471","21.6","95","950.7"
13/01/2025 12:27:35 AM,"483","21.6","95","950.8"
13/01/2025 12:28:35 AM,"490","21.6","95","950.7"
13/01/2025 12:29:35 AM,"487","21.6","95","950.8"
13/01/2025 12:30:35 AM,"492","21.6","95","950.7"
13/01/2025 12:31:35 AM,"486","21.6","95","950.7"
13/01/2025 12:32:35 AM,"470","21.6","95","950.8"
13/01/2025 12:33:35 AM,"485","21.6","95","950.6"
13/01/2025 12:34:35 AM,"494","21.6","95","950.7"
13/01/2025 12:35:35 AM,"491","21.6","95","950.6"
13/01/2025 12:36:35 AM,"476","21.6","95","950.7"
13/01/2025 12:37:35 AM,"486","21.6","95","950.6"
13/01/2025 12:38:35 AM,"468","21.6","95","950.6"
13/01/2025 12:39:35 AM,"477","21.6","95","950.7"
13/01/2025 12:40:35 AM,"468","21.6","95","950.6"
13/01/2025 12:41:35 AM,"500","21.6","95","950.6"
13/01/2025 12:42:35 AM,"486","21.6","95","950.7"
13/01/2025 12:43:35 AM,"476","21.6","95","950.6"
