"time_of_day","site","aranet","treatment","mean_co2","mean_temp","mean_rh","mean_pressure","median_co2","median_temp","median_rh","median_pressure","sd_co2","sd_temp","sd_rh","sd_pressure"
"Afternoon","N1","5","Elevated",560.351388888889,24.4299305555556,67.8909722222222,977.409513888889,490,24.2,64.5,972.8,140.229163671981,3.02216274893777,22.9681152324414,29.9886927922091
"Afternoon","N1","6","Control",477.565277777778,22.54,95.6055555555556,945.940277777778,478,23.1,96,945.8,10.9632672779664,1.19261053522697,3.1406478114602,0.91164003007162
"Afternoon","N3","2","Control",567.854861111111,23.8243055555556,73.3277777777778,986.37375,500,22.7,65.5,981.8,132.424257307862,2.76654908125811,22.4756727243483,21.6647134946695
"Afternoon","N3","3","Elevated",607.047222222222,23.8214583333333,75.4201388888889,987.365069444444,538,22.5,72.5,982.5,126.481263156782,3.30282029730067,22.7232926874053,20.22820076821
"Afternoon","N4","1","Elevated",575.693055555556,24.8607638888889,68.03125,985.935208333333,501,24.8,62.5,981.35,135.499914302278,2.73276940172486,17.8375339945368,21.8490259265373
"Afternoon","N4","4","Control",537.561805555556,25.4232638888889,67.2340277777778,966.88375,459,26,61,966.8,146.754290399748,2.78730750990552,16.1321448153651,0.957177610345576
"Afternoon","N7","7","Elevated",502.651388888889,23.1651388888889,92.3069444444444,NA,503,23.9,92,NA,13.5842039193011,1.56707916698316,5.45957011224687,NA
"Afternoon","N7","8","Control",472.027777777778,23.6093055555556,88.2861111111111,950.240277777778,472,24.5,86,950.1,13.1170744370241,1.81393449407273,7.80330705464215,0.929767303387503
"Afternoon","S1","15","Elevated",501.59737704918,24.8433994334278,66.1068852459016,943.782032786885,447,24.7,66,931.9,112.61743590473,2.46589154067297,12.1644348896416,25.6425464565915
"Afternoon","S1","16","Control",470.396805896806,25.7010442260442,63.0780098280098,941.810687960688,442,25.9,62,929.8,64.5495843552597,2.27497113928562,11.2113049000131,25.5018339848038
"Afternoon","S3","11","Elevated",514.513194444444,23.4720138888889,72.8649305555556,935.795625,462,23.5,74,920.1,114.26606717912,2.25241673454056,15.4649202244914,29.5194466423611
"Afternoon","S3","12","Control",539.2,23.4030681818182,73.3780303030303,937.184886363636,485,23.3,75,920.1,116.63539767543,2.37064793592859,16.1981937269017,30.4667504423813
"Afternoon","S3","21","Source",479.184166666667,24.6610416666667,75.5916666666667,924.969291666667,463,23.4,74,921.2,45.7974162374699,4.718414759998,13.9035238535188,10.5950881443679
"Afternoon","S4","13","Elevated",506.8,23.5239015151515,71.0640151515152,932.024696969697,459,23.5,72,912.8,101.803439433102,2.6339306527966,17.7001698914717,33.3450465512148
"Afternoon","S4","14","Control",442.429861111111,22.7604861111111,79.2319444444445,914.268125,443,22.8,83.5,913.9,9.61644251395488,2.26958033544586,11.4656489271237,1.18164881022319
"Afternoon","S4","22","Source",493.252314814815,25.9944444444444,69.625,920.077175925926,449,25.5,68,914.3,326.974824906255,4.71408134369039,14.892205701098,13.1465933076459
"Afternoon","S5","19","Elevated",519.711546477699,24.6340416666667,68.8475,942.554541666667,451,24,69,926,232.229101231485,4.14756711362192,16.1281366689865,29.6859290804106
"Afternoon","S5","20","Control",438.484897959184,23.4275918367347,76.3991836734694,922.816489795918,436,23.9,73,922.5,11.7863597706837,1.68394169649314,10.0796581855234,1.39184333330987
"Afternoon","S5","24","Source",483.621666666667,24.2884166666667,78.2833333333333,927.59375,434,24.9,74,925.5,336.872591369847,1.93782613637926,12.3097250171245,6.63342454582631
"Afternoon","S6","17","Elevated",486.0421875,25.3783333333333,68.25,940.090677083333,437,25,70,929.3,106.181959074696,2.59474944512849,12.4631818373642,24.2084662893639
"Afternoon","S6","18","Control",509.970833333333,25.4305357142857,66.1755952380952,940.193392857143,458,25.2,68,926.9,110.830176016833,2.59747478024,13.2745148810581,26.1408804809111
"Afternoon","S6","23","Source",508.90728021978,28.4114697802198,75.5645604395604,924.645467032967,479,27.5,71,927.2,67.5802106235559,4.82158223981569,13.2628186406445,5.80240085884692
"Evening","N1","5","Elevated",580.566666666667,24.25625,69.7138888888889,977.213055555556,504,23.1,67.5,972.3,154.327518712603,3.87552713001289,24.2682923884966,29.9986067659278
"Evening","N1","6","Control",483.8,21.7388888888889,94.7555555555556,945.883055555556,484,21.9,94,945.9,12.7813844438244,0.949029053089941,3.20275338060249,0.454217742223553
"Evening","N3","2","Control",585.947222222222,24.6008333333333,73.9583333333333,986.229305555556,482,23.35,73,982,164.067932580726,3.46414166406435,22.577166391754,21.67309053829
"Evening","N3","3","Elevated",612.451388888889,25.3554166666667,72.3805555555556,986.90375,504,24.6,68,982.45,168.930277108038,3.60623761787911,20.265063003861,20.5801408479794
"Evening","N4","1","Elevated",595.490277777778,25.0948611111111,68.6277777777778,985.755138888889,488,24.6,64.5,980.75,167.351611276566,3.28740822409771,18.0901099638475,21.9366460716037
