"Site","Treatment","time_of_day","aranet_co2_mean","aranet_co2_sd","aranet_co2_median","aranet_t_mean","aranet_t_sd","aranet_t_median","aranet_hpa_mean","aranet_hpa_sd","aranet_hpa_median","aranet_rh_mean","aranet_rh_sd","aranet_rh_median"
"N1","Control","Afternoon",477.565277777778,10.9632672779664,478,22.54,1.19261053522697,23.1,945.940277777778,0.91164003007162,945.8,95.6055555555556,3.1406478114602,96
"N1","Control","Evening",483.8,12.7813844438244,484,21.7388888888889,0.949029053089941,21.9,945.883055555556,0.454217742223553,945.9,94.7555555555556,3.20275338060249,94
"N1","Control","Morning",490.799857040743,11.1729785922701,491,20.9664760543245,0.783419801766323,20.8,948.663902787706,0.932303395598395,948.7,98.8062902072909,0.735617774000043,99
"N1","Control","Night",496.567135050742,11.4373657682621,496,20.6467213114754,0.296930449640351,20.7,947.370128855916,0.961136383377594,947.3,98.7864115579852,0.677820243218186,99
"N1","Elevated","Afternoon",466.594791666667,40.965884913612,449,23.3544791666667,1.54589865390905,23.35,967.008125,31.952207804009,948.8,78.8322916666667,20.762874919685,87
"N1","Elevated","Evening",475.7375,40.9941929030751,458,22.1664583333333,1.0661326312445,22.5,967.145833333333,32.3215005538341,948.6,81.3208333333333,21.8610430174163,91
"N1","Elevated","Morning",482.110571736785,40.4856002516394,470,21.6845199568501,1.33267008834196,21.1,968.689104638619,31.074349675007,951.7,84.2853290183387,22.7862739397863,98
"N1","Elevated","Night",491.542034839687,32.9658656151689,483,21.547336531179,1.2959430091367,21,975.76101010101,34.6818651551347,950.7,78.8108585858586,25.8965890582122,97
"N3","Control","Afternoon",567.854861111111,132.424257307862,500,23.8243055555556,2.76654908125811,22.7,986.37375,21.6647134946695,981.8,73.3277777777778,22.4756727243483,65.5
"N3","Control","Evening",584.718662952646,162.632240666502,482,24.5793871866295,3.44498805805917,23,986.183704735376,21.6860198732589,968.95,74.016713091922,22.5814440874619,92
"N3","Control","Morning",558.45816072908,152.318029555725,491,22.3481358740679,1.29747860482418,21.9,979.133264291632,35.3492377742641,968.4,75.9092792046396,23.7315167429993,93
"N3","Control","Night",517.147591018095,115.219365551916,472,23.0836276433399,1.2399302587916,23,986.685720514497,24.6113327665075,968.9,74.5705253978635,22.068323193693,83
"N3","Elevated","Afternoon",605.010467550593,123.376198445518,538,23.808653175157,3.30577545021652,22.5,987.318213538032,20.2664326495082,970.7,75.5247732030705,22.7292383401786,92
"N3","Elevated","Evening",610.436541143654,166.377105662342,504,25.3284518828452,3.5895253381274,24.6,986.840585774059,20.5999501326204,970.3,72.4574616457462,20.2724443718642,82
"N3","Elevated","Morning",574.878999179655,124.624786559551,522,22.4263740771124,1.0914172846841,22.1,977.847415914684,34.8474875077868,968.1,76.3470057424118,22.5076144790403,90.5
"N3","Elevated","Night",551.196901661428,116.764220958455,506,22.9057027391109,1.24787132024684,22.7,985.838774135608,23.6945377498614,968.7,76.0709474629546,21.4755883252264,83
"N4","Control","Afternoon",537.561805555556,146.754290399748,459,25.4232638888889,2.78730750990552,26,966.88375,0.957177610345576,966.8,67.2340277777778,16.1321448153651,61
"N4","Control","Evening",550.788888888889,173.899695767173,443,25.0605555555556,2.99609847780467,24.6,966.806388888889,0.486518258110714,966.8,68.7013888888889,16.5779986666944,63.5
"N4","Control","Morning",526.388506677459,156.237161459387,452,22.8846620801295,1.53728672762433,22.3,969.721164021164,1.00272978676728,969.7,74.8822339133954,20.8813374832309,81
"N4","Control","Night",492.376987632509,118.025495370057,445,22.4590768551237,0.91382225613417,22.4,970.645566860465,10.7039077363001,968.4,77.5854681978799,21.3553922350853,92
"N4","Elevated","Afternoon",573.594556873692,132.451649862723,501,24.8548499651082,2.73812428058653,24.6,985.879413817167,21.8877274659255,968.1,68.1046755059316,17.8500171876455,72
"N4","Elevated","Evening",593.693165969317,165.371456335576,488,25.0651324965133,3.26189022050596,24.6,985.685913528591,21.9563427839207,966.6,68.6889818688982,18.1031203117975,75
"N4","Elevated","Morning",543.511617515639,126.580262662936,494,22.7230563002681,1.25774672305637,22.3,979.646648793566,36.1391979931709,969.1,76.816800714924,21.8896211834164,87
"N4","Elevated","Night",532.407462686567,110.993647341752,492,22.576908315565,0.893731776120088,22.5,987.307057569296,24.3440265043334,968.3,76.1411513859275,22.6707899498638,91
"N7","Control","Afternoon",472.027777777778,13.1170744370241,472,23.6093055555556,1.81393449407273,24.5,950.240277777778,0.929767303387503,950.1,88.2861111111111,7.80330705464215,86
"N7","Control","Evening",473.530555555556,13.1767144882336,474,22.5663888888889,1.40782068048451,22.9,950.175555555556,0.463800723491365,950.2,88.5,7.55628831081846,85
"N7","Control","Morning",491.127521613833,15.186949124224,490,21.4958213256484,1.16613342684533,21.1,953.002161383285,0.940598191234761,953.1,96.4085014409222,4.04903076005707,99
"N7","Control","Night",492.296814296814,16.2030599073252,491,21.0468324912553,0.491374545865915,21,951.710415856976,0.964905344118122,951.7,96.3400699572483,3.5576478190562,99
"N7","Elevated","Afternoon",502.651388888889,13.5842039193011,503,23.1651388888889,1.56707916698316,23.9,NA,NA,NA,92.3069444444444,5.45957011224687,92
"N7","Elevated","Evening",506.3,11.9228719129164,507,22.2047222222222,1.18606342188368,22.4,NA,NA,NA,91.65,5.52328572832954,90
"N7","Elevated","Morning",520.239303843365,16.2530119957644,519,21.4142857142857,1.12499268548777,21,NA,NA,NA,97.0741427247451,3.47907454987401,99
"N7","Elevated","Night",523.846723868955,16.1483896620538,523,20.9281591263651,0.44019952162163,20.9,NA,NA,NA,97.4689960629921,2.53969439846636,99
