"DATAH","SECONDS","NANOSECONDS","NDX","DIAG","REMARK","DATE","TIME","H2O","CO2","CH4","CAVITY_P","CAVITY_T","LASER_PHASE_P","LASER_T","RESIDUAL","RING_DOWN_TIME","THERMAL_ENCLOSURE_T","PHASE_ERROR","LASER_T_SHIFT","INPUT_VOLTAGE","CHK","DATETIME","time_CST","REMARK_ID","time_elapsed","efflux_tree","Site","Treatment","RATE_CO2","RATE_CO2_molmol","RATE_CH4","RATE_CH4_molmol","CO2_flux.mol.s","CH4_flux.mol.s","CO2_flux.mol.m2.s","CH4_flux.mol.m2.s","CO2_flux.umol.m2.s","CH4_flux.umol.m2.s","Q1","Q3","IQR","is_outlier_ch4","is_outlier_co2"
"DATA",1736508841,817218065,49944,0,"","2025-01-10","11:34:01",24370.707,416.64301,1974.5984,40.6582,55.0003,29.3632,37.6488,0.00386046,12.1298,54.5005,-59.5,-0.524123,14.8217,166,2025-01-10 11:34:01,2025-01-10 11:34:01,"1",0,"v1","S4","Elevated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.5379885424737,2.50806878018298,4.04605732265668,NA,NA
"DATA",1736508842,817218065,49948,0,"","2025-01-10","11:34:02",24332.793,415.55884,1974.5355,40.6594,55.0003,29.3599,37.6488,0.00388666,12.1296,54.5005,12.5,-0.524123,14.8217,149,2025-01-10 11:34:02,2025-01-10 11:34:02,"1",0.0166666666666667,"v1","S4","Elevated",-1.08417000000003,-1.08417000000003e-06,-0.062900000000127,-6.2900000000127e-11,-2.0100362113999e-08,-1.16615731570977e-12,-2.83573585159056e-06,-1.64520126055325e-10,-2.83573585159056,-0.000164520126055325,-1.5379885424737,2.50806878018298,4.04605732265668,FALSE,FALSE
"DATA",1736508843,817218065,49952,0,"","2025-01-10","11:34:03",24316.787,415.401,1974.3276,40.6586,55.0003,29.3595,37.6488,0.00388082,12.1301,54.5005,-24.5,-0.524123,14.8213,50,2025-01-10 11:34:03,2025-01-10 11:34:03,"1",0.0333333333333333,"v1","S4","Elevated",-0.157839999999965,-1.57839999999965e-07,-0.207899999999881,-2.07899999999881e-10,-2.92633180780949e-09,-3.85443729627079e-12,-4.12843508688621e-07,-5.4377955813694e-10,-0.412843508688621,-0.00054377955813694,-1.5379885424737,2.50806878018298,4.04605732265668,FALSE,FALSE
"DATA",1736508844,817218065,49956,0,"","2025-01-10","11:34:04",24303.844,415.0705,1974.5023,40.659,55.0003,29.3591,37.6488,0.00386997,12.1294,54.5005,90.5,-0.524123,14.8221,17,2025-01-10 11:34:04,2025-01-10 11:34:04,"1",0.05,"v1","S4","Elevated",-0.330500000000029,-3.30500000000029e-07,0.17470000000003,1.7470000000003e-10,-6.12742436949656e-09,3.2389138800337e-12,-8.644499469186e-07,4.56942226101942e-10,-0.8644499469186,0.000456942226101942,-1.5379885424737,2.50806878018298,4.04605732265668,FALSE,FALSE
"DATA",1736508845,817218065,49960,0,"","2025-01-10","11:34:05",24298.967,415.78302,1974.6274,40.6594,55.0003,29.3632,37.6488,0.00384833,12.1298,54.5005,39,-0.524123,14.8229,49,2025-01-10 11:34:05,2025-01-10 11:34:05,"1",0.0666666666666667,"v1","S4","Elevated",0.71252000000004,7.1252000000004e-07,0.125099999999975,1.25099999999975e-10,1.32100224258806e-08,2.31933672805991e-12,1.86365469342941e-06,3.27209344506764e-10,1.86365469342941,0.000327209344506764,-1.5379885424737,2.50806878018298,4.04605732265668,FALSE,FALSE
"DATA",1736508846,817218065,49964,0,"","2025-01-10","11:34:06",24298.332,417.3826,1974.9124,40.6598,55.0003,29.3636,37.6488,0.00383821,12.1296,54.5005,-17.5,-0.524123,14.8233,128,2025-01-10 11:34:06,2025-01-10 11:34:06,"1",0.0833333333333333,"v1","S4","Elevated",1.59958,1.59958e-06,0.284999999999854,2.84999999999855e-10,2.96559923538834e-08,5.28386065145378e-12,4.18383311979405e-06,7.45440952713021e-10,4.18383311979405,0.000745440952713021,-1.5379885424737,2.50806878018298,4.04605732265668,FALSE,FALSE
"DATA",1736508847,817218065,49968,0,"","2025-01-10","11:34:07",24301.684,417.01923,1975.1005,40.659,55.0003,29.3611,37.6488,0.00385868,12.1298,54.5005,-5,-0.524123,14.8233,222,2025-01-10 11:34:07,2025-01-10 11:34:07,"1",0.1,"v1","S4","Elevated",-0.363370000000032,-3.63370000000032e-07,0.188100000000077,1.88100000000077e-10,-6.73682963129793e-09,3.4873480299627e-12,-9.50424136798219e-07,4.91991028791046e-10,-0.950424136798219,0.000491991028791046,-1.5379885424737,2.50806878018298,4.04605732265668,FALSE,FALSE
"DATA",1736508848,816896915,49972,0,"","2025-01-10","11:34:08",24308.838,418.84937,1975.0643,40.6598,55.0003,29.3615,37.6488,0.00384564,12.1289,54.5005,53.75,-0.524123,14.8221,219,2025-01-10 11:34:08,2025-01-10 11:34:08,"1",0.116666666666667,"v1","S4","Elevated",1.83014000000003,1.83014000000003e-06,-0.036200000000008,-3.6200000000008e-11,3.39305429216025e-08,-6.71143002044796e-13,4.78688177262781e-06,-9.46840789060741e-11,4.78688177262781,-9.46840789060741e-05,-1.5379885424737,2.50806878018298,4.04605732265668,FALSE,FALSE
"DATA",1736508849,816896915,49976,0,"","2025-01-10","11:34:09",24338.246,419.97165,1975.2393,40.6606,55.0003,29.3632,37.6488,0.00383548,12.1289,54.5005,21.5,-0.524123,14.8221,153,2025-01-10 11:34:09,2025-01-10 11:34:09,"1",0.133333333333333,"v1","S4","Elevated",1.12227999999999,1.12227999999999e-06,0.174999999999955,1.74999999999955e-10,2.08069162523387e-08,3.24447583861279e-12,2.93541569267084e-06,4.57726900788812e-10,2.93541569267084,0.000457726900788812,-1.5379885424737,2.50806878018298,4.04605732265668,FALSE,FALSE
"DATA",1736508850,816896915,49980,0,"","2025-01-10","11:34:10",24390.082,419.57416,1975.2638,40.6594,55.0003,29.3632,37.6488,0.00388366,12.1288,54.5005,-50.25,-0.524123,14.8217,235,2025-01-10 11:34:10,2025-01-10 11:34:10,"1",0.15,"v1","S4","Elevated",-0.397490000000005,-3.97490000000005e-07,0.0244999999999891,2.44999999999891e-11,-7.36940972051741e-09,4.54226617405706e-13,-1.03966780454054e-06,6.40817661104218e-11,-1.03966780454054,6.40817661104218e-05,-1.5379885424737,2.50806878018298,4.04605732265668,FALSE,FALSE
