"Sample.ID","Site.treatment","Site","Treatment","Sample","root_depth","X13CVPDB","Total.C","CComment","X15NAir","Total.N","NComment","Tray.Name","Well.Id","Type.of.Material","Analysis","Sample.Weight..mg..from.Sample.List","Internal.ID","Analysis.Number","Mass.Spec"
"N1CO210root15","N1CO2","N1","CO2",10,"15",-30.98,732.46,"",1.59,43.51,"","7RGOLDSMITH","B6","Root","13C, 15N",2.133,2162179,22222,"M"
"N1CO210root30","N1CO2","N1","CO2",10,"30",-29.7,628.44,"",2.6,44.36,"","5RGOLDSMITH","D11","Root","13C, 15N",2.628,2162016,21948,"M"
"N1CO210root60","N1CO2","N1","CO2",10,"60",-29.09,412.98,"",1.92,25.12,"","7RGOLDSMITH","A6","Root","13C, 15N",2.011,2162167,22207,"M"
"N1CO21root15","N1CO2","N1","CO2",1,"15",-29.88,803.33,"",0.88,40.51,"","6RGOLDSMITH","B6","Root","13C, 15N",2.95,2162083,22067,"M"
"N1CO21root30","N1CO2","N1","CO2",1,"30",-28.91,354.36,"",2.12,26.45,"","6RGOLDSMITH","E7","Root","13C, 15N",2.695,2162120,22117,"M"
"N1CO21root60","N1CO2","N1","CO2",1,"60",-28.13,271.79,"",2.49,19.93,"Precision decreases for samples containing less than 20ugN","5RGOLDSMITH","F2","Root","13C, 15N",2.746,2162031,21970,"M"
"N1CO22root15","N1CO2","N1","CO2",2,"15",-29.38,492.98,"",1.77,37.76,"","5RGOLDSMITH","G9","Root","13C, 15N",2.733,2162050,21995,"M"
"N1CO22root30","N1CO2","N1","CO2",2,"30",-29.93,502.64,"",2.4,39.61,"","6RGOLDSMITH","B7","Root","13C, 15N",2.543,2162084,22068,"M"
"N1CO22root60","N1CO2","N1","CO2",2,"60",-29.09,244.02,"",3.32,16.09,"Precision decreases for samples containing less than 20ugN","6RGOLDSMITH","F9","Root","13C, 15N",2.142,2162134,22135,"M"
"N1CO23root15","N1CO2","N1","CO2",3,"15",-30.09,487.44,"",2.33,38.52,"","7RGOLDSMITH","F4","Root","13C, 15N",2.531,2162225,22313,"M"
"N1CO23root30","N1CO2","N1","CO2",3,"30",-32.12,850.34,"",-0.03,33.52,"","6RGOLDSMITH","E3","Root","13C, 15N",2.227,2162116,22113,"M"
"N1CO23root60","N1CO2","N1","CO2",3,"60",-28.56,212.74,"",5.07,13.54,"Precision decreases for samples containing less than 20ugN","8LRGOLDSMITH","B8","Root","13C, 15N",2.675,2162277,22382,"M"
"N1CO24root15","N1CO2","N1","CO2",4,"15",-30.29,539.42,"",1.72,37.93,"","7RGOLDSMITH","A3","Root","13C, 15N",2.186,2162164,22204,"M"
"N1CO24root30","N1CO2","N1","CO2",4,"30",-29.8,603.52,"",1.26,45.39,"","5RGOLDSMITH","H10","Root","13C, 15N",2.872,2162063,22012,"M"
"N1CO24root60","N1CO2","N1","CO2",4,"60",-28.81,301.79,"",3.48,25.21,"","6RGOLDSMITH","G9","Root","13C, 15N",2.839,2162146,22176,"M"
"N1CO25root15","N1CO2","N1","CO2",5,"15",-30.13,428.67,"",2.61,34.6,"","7RGOLDSMITH","C7","Root","13C, 15N",2.505,2162192,22241,"M"
"N1CO25root30","N1CO2","N1","CO2",5,"30",-31.26,701.87,"",1.65,31.93,"","8LRGOLDSMITH","C2","Root","13C, 15N",2.472,2162283,25895,"M"
