sample_id,total_c_ug,total_n_ug,delta_c13,delta_n15,site_treatment,zone,soil_depth,treatment,site_id
N1-CO2-10-soil-15,1346.9,101.92,-29.49,2.12,N1-CO2,North,15,CO2,N1
N1-CO2-10-soil-15-D,1383.44,104.48,-29.74,2.22,N1-CO2,North,-D,CO2,N1
N1-CO2-10-soil-30,901.44,82.15,-28.41,4.13,N1-CO2,North,30,CO2,N1
N1-CO2-10-soil-60,602.91,54.36,-27.68,4.64,N1-CO2,North,60,CO2,N1
N1-CO2-1-soil-15,1297.79,112.8,-29.41,2.54,N1-CO2,North,15,CO2,N1
N1-CO2-1-soil-30,1055,94.85,-28.87,3.22,N1-CO2,North,30,CO2,N1
N1-CO2-1-soil-60,405.01,33.64,-26.96,4.28,N1-CO2,North,60,CO2,N1
N1-CO2-2-soil-15,1273.17,114.46,-28.95,2.94,N1-CO2,North,15,CO2,N1
N1-CO2-2-soil-30,541.1,48.88,-27.25,4.81,N1-CO2,North,30,CO2,N1
N1-CO2-2-soil-30-D,1357.81,117.92,-29.21,2.9,N1-CO2,North,-D,CO2,N1
N1-CO2-3-soil-15,1349.63,125.64,-29.11,3.39,N1-CO2,North,15,CO2,N1
N1-CO2-3-soil-30,1072.85,102.48,-28.45,4.28,N1-CO2,North,30,CO2,N1
N1-CO2-3-soil-60,268.29,24.7,-26.77,5.05,N1-CO2,North,60,CO2,N1
N1-CO2-4-soil-15,1061.83,96.83,-28.88,3.46,N1-CO2,North,15,CO2,N1
N1-CO2-4-soil-30,1050.58,98.84,-28.7,3.62,N1-CO2,North,30,CO2,N1
N1-CO2-5-soil-15,1223.59,114.4,-29.1,3.75,N1-CO2,North,15,CO2,N1
N1-CO2-5-soil-30,707.35,67.42,-28.05,4.62,N1-CO2,North,30,CO2,N1
N1-CO2-6-soil-15,1083.87,108.69,-28.87,3.7,N1-CO2,North,15,CO2,N1
N1-CO2-6-soil-30,751.84,72.78,-28.08,4.42,N1-CO2,North,30,CO2,N1
N1-CO2-7-soil-15,1089.85,101.13,-28.58,3.86,N1-CO2,North,15,CO2,N1
N1-CO2-7-soil-30,737.74,72.75,-27.37,4.9,N1-CO2,North,30,CO2,N1
N1-CO2-7-soil-60,594.88,55.03,-27.15,5.3,N1-CO2,North,60,CO2,N1
N1-CO2-8-soil-15,410.7,34.68,-28.18,4.21,N1-CO2,North,15,CO2,N1
N1-CO2-8-soil-15-D,1165.02,107.63,-28.82,3.59,N1-CO2,North,-D,CO2,N1
N1-CO2-8-soil-30,745.63,69.72,-27.68,5.02,N1-CO2,North,30,CO2,N1
N1-CO2-8-soil-60,503.74,45.69,-26.69,5.41,N1-CO2,North,60,CO2,N1
N1-CO2-9-soil-15,860.55,83.94,-28.62,4.25,N1-CO2,North,15,CO2,N1
N1-CO2-9-soil-30,672.21,63.46,-27.93,4.77,N1-CO2,North,30,CO2,N1
N1-CO2-9-soil-60,391.38,35.48,-27.1,4.79,N1-CO2,North,60,CO2,N1
N1-CON-10-soil-15,1817.63,156.11,-29.15,3.78,N1-CON,North,15,CON,N1
N1-CON-10-soil-30,357.65,34.13,-26.66,5.4,N1-CON,North,30,CON,N1
N1-CON-10-soil-60,664.57,64.07,-26.28,6.32,N1-CON,North,60,CON,N1
N1-CON-1-soil-15,1389.42,121.5,-28.98,3.55,N1-CON,North,15,CON,N1
N1-CON-1-soil-30,769.62,76.26,-27.63,5.06,N1-CON,North,30,CON,N1
N1-CON-1-soil-60,609.88,59.31,-26.42,6.49,N1-CON,North,60,CON,N1
N1-CON-2-soil-15,1199.63,118.06,-28.77,3.99,N1-CON,North,15,CON,N1
N1-CON-2-soil-30,1050.8,106.43,-27.36,5.06,N1-CON,North,30,CON,N1
N1-CON-2-soil-60,582.07,60.05,-25.9,6.14,N1-CON,North,60,CON,N1
N1-CON-4-soil-15,1451.83,142.76,-28.92,4.21,N1-CON,North,15,CON,N1
N1-CON-4-soil-30,794.18,77.92,-27.35,5.76,N1-CON,North,30,CON,N1
N1-CON-4-soil-60,561.28,57.5,-25.61,6.5,N1-CON,North,60,CON,N1
N1-CON-5-soil-15,1476.24,132.1,-28.68,3.89,N1-CON,North,15,CON,N1
N1-CON-5-soil-30,915.31,86.66,-27.15,5.25,N1-CON,North,30,CON,N1
N1-CON-5-soil-60,1196.54,103.04,-29.74,1.94,N1-CON,North,60,CON,N1
N1-CON-6-soil-15,1229.43,116.04,-29.13,4.54,N1-CON,North,15,CON,N1
N1-CON-6-soil-30,667.37,67.46,-27.02,5.92,N1-CON,North,30,CON,N1
N1-CON-6-soil-60,424.1,44.93,-25.32,6.91,N1-CON,North,60,CON,N1
N1-CON-7-soil-15,1380.57,138.15,-28.77,4.34,N1-CON,North,15,CON,N1
N1-CON-7-soil-30,1030.4,100.23,-27.29,5.51,N1-CON,North,30,CON,N1
N1-CON-7-soil-60,475.91,48.09,-25.94,6.62,N1-CON,North,60,CON,N1
N1-CON-8-soil-15,1103.51,110.95,-28.81,4.39,N1-CON,North,15,CON,N1
N1-CON-8-soil-30,980.31,96.92,-28.46,4.84,N1-CON,North,30,CON,N1
N1-CON-8-soil-60,467.46,45.93,-25.87,6.62,N1-CON,North,60,CON,N1
N1-CON-9-soil-15,1159.05,109.96,-28.61,4.2,N1-CON,North,15,CON,N1
N1-CON-9-soil-30,821.06,84.55,-27.07,5.79,N1-CON,North,30,CON,N1
N1-CON-9-soil-60,417.83,42.96,-25.68,6.77,N1-CON,North,60,CON,N1
N2-CO2-10-soil-15,766.69,60.25,-28.81,3.5,N2-CO2,North,15,CO2,N2
N2-CO2-10-soil-30,521.41,48.26,-27.8,4.71,N2-CO2,North,30,CO2,N2
N2-CO2-1-soil-15,1283.63,115.52,-28.57,4.41,N2-CO2,North,15,CO2,N2
N2-CO2-1-soil-30,1191.06,114.34,-28.05,4.86,N2-CO2,North,30,CO2,N2
N2-CO2-1-soil-60,644.99,67.44,-25.9,7.34,N2-CO2,North,60,CO2,N2
N2-CO2-2-soil-15,1244.32,100.28,-28.02,4.49,N2-CO2,North,15,CO2,N2
N2-CO2-2-soil-30,1071.02,89.99,-27.46,5.63,N2-CO2,North,30,CO2,N2
N2-CO2-2-soil-60,555.16,52.72,-26.17,7.02,N2-CO2,North,60,CO2,N2
N2-CO2-3-soil-15,1704.06,150.49,-28.86,3.95,N2-CO2,North,15,CO2,N2
N2-CO2-3-soil-30,904.21,85.53,-27.85,4.94,N2-CO2,North,30,CO2,N2
N2-CO2-3-soil-60,507.46,51.3,-26.12,6.5,N2-CO2,North,60,CO2,N2
N2-CO2-4-soil-15,1229.43,105.3,-28.33,4.38,N2-CO2,North,15,CO2,N2
N2-CO2-4-soil-30,920.85,84.41,-27.63,5.29,N2-CO2,North,30,CO2,N2
N2-CO2-4-soil-60,490.43,48.54,-26.35,6.89,N2-CO2,North,60,CO2,N2
N2-CO2-5-soil-15,912.27,81.55,-27.99,4.51,N2-CO2,North,15,CO2,N2
N2-CO2-5-soil-30,806.95,74.8,-27.29,5.59,N2-CO2,North,30,CO2,N2
N2-CO2-5-soil-60,492.03,50.64,-25.74,6.82,N2-CO2,North,60,CO2,N2
N2-CO2-6-soil-15,1110.42,92.54,-28.52,3.95,N2-CO2,North,15,CO2,N2
N2-CO2-6-soil-30,799.65,77.05,-27.13,5.66,N2-CO2,North,30,CO2,N2
N2-CO2-6-soil-60,818.08,7.25,2.06,-1.63,N2-CO2,North,60,CO2,N2
N2-CO2-7-soil-15,1313.32,111.92,-28.23,3.97,N2-CO2,North,15,CO2,N2
N2-CO2-7-soil-30,996.04,92.12,-27.47,5.64,N2-CO2,North,30,CO2,N2
N2-CO2-7-soil-60,560.78,56.39,-25.96,7.18,N2-CO2,North,60,CO2,N2
N2-CO2-8-soil-30,525.66,51.78,-27.03,5.47,N2-CO2,North,30,CO2,N2
N2-CO2-8-soil-60,310.31,32.83,-26.1,6.39,N2-CO2,North,60,CO2,N2
N2-CO2-9-soil-15,923.62,86.66,-28.9,3.59,N2-CO2,North,15,CO2,N2
N2-CO2-9-soil-30,787.45,74.8,-28,4.88,N2-CO2,North,30,CO2,N2
N2-CO2-9-soil-60,1136.15,108.13,-28.22,4.81,N2-CO2,North,60,CO2,N2
N2-CON-10-soil-15,1117.37,105.79,-27.79,4.2,N2-CON,North,15,CON,N2
N2-CON-10-soil-30,881.47,83.63,-27.13,5.18,N2-CON,North,30,CON,N2
N2-CON-10-soil-60,497.82,52.41,-25.82,6.21,N2-CON,North,60,CON,N2
N2-CON-1-soil-15,1097.16,107.51,-28.3,4.54,N2-CON,North,15,CON,N2
N2-CON-1-soil-60,332.15,32.38,-25.22,6.75,N2-CON,North,60,CON,N2
N2-CON-2-soil-15,633.76,61.25,-26.98,5.18,N2-CON,North,15,CON,N2
N2-CON-2-soil-30,528.11,52.28,-26.02,6.66,N2-CON,North,30,CON,N2
N2-CON-2-soil-60,728.88,61.81,-28.78,2.79,N2-CON,North,60,CON,N2
N2-CON-3-soil-15,1184,111.97,-28.41,3.92,N2-CON,North,15,CON,N2
N2-CON-3-soil-60,631.33,63.84,-26.4,6.1,N2-CON,North,60,CON,N2
N2-CON-4-soil-15,962.4,96.83,-27.94,4.59,N2-CON,North,15,CON,N2
N2-CON-4-soil-30,552.87,56.38,-26.02,6.73,N2-CON,North,30,CON,N2
N2-CON-4-soil-60,543.25,54.31,-26.27,6.49,N2-CON,North,60,CON,N2
N2-CON-5-soil-15,913.78,91.67,-28.17,4.29,N2-CON,North,15,CON,N2
N2-CON-5-soil-30,857.93,87.53,-26.82,5.99,N2-CON,North,30,CON,N2
N2-CON-5-soil-60,411.72,37.19,-25.19,5.9,N2-CON,North,60,CON,N2
N2-CON-6-soil-15,889.69,90.64,-28.2,4.13,N2-CON,North,15,CON,N2
N2-CON-6-soil-30,762.37,79.89,-27.18,5.48,N2-CON,North,30,CON,N2
N2-CON-6-soil-60,430.32,43.13,-25.3,6.57,N2-CON,North,60,CON,N2
N2-CON-7-soil-15,1538.84,122.76,-28.54,2.5,N2-CON,North,15,CON,N2
N2-CON-7-soil-30,843.12,80.45,-27.04,5.52,N2-CON,North,30,CON,N2
N2-CON-7-soil-60,607.15,60.95,-25.94,6.57,N2-CON,North,60,CON,N2
N2-CON-8-soil-15,269.15,24.09,-27.49,4.27,N2-CON,North,15,CON,N2
